global_cache_size,local_cache_size,misses,compilations,evictions,e2e,exec,waiting
2500,2000,25124,2460,0,83747478406,51613018982,32134459424
2500,1750,31071,2460,0,88976205872,51663125787,37313080084
2500,1500,31265,2460,0,89526152644,51583276971,37942875672
2500,1250,40694,2460,0,99570170053,51717964402,47852205651
2500,1000,54381,2460,0,113551768069,51636509128,61915258940
2500,750,56851,2460,0,134673788115,51757544493,82916243622
2500,500,66745,2460,0,177509070252,51859702270,125649367982
2250,2000,25278,2460,210,84246677926,51604783306,32641894619
2250,1750,30736,2460,210,88745190821,51688185698,37057005123
2250,1500,31532,2466,216,89212670570,51547702225,37664968345
2250,1250,41484,2481,231,99261217883,51570695156,47690522726
2250,1000,54480,2472,222,114705588995,51627217145,63078371849
2250,750,56220,2460,210,135588128445,51756991531,83831136913
2250,500,64730,2460,210,177050180451,51852487072,125197693378
2000,2000,25333,2481,481,83688641547,51643279387,32045362160
2000,1750,31497,2481,481,89209412184,51539803520,37669608664
2000,1500,31721,2492,492,89470722004,51593169701,37877552303
2000,1250,41950,2499,498,99869978643,51615117901,48254860741
2000,1000,55468,2509,509,114309421244,51598348233,62711073010
2000,750,57847,2530,530,134815064089,51772348783,83042715305
2000,500,66993,2478,478,177978566370,51914084801,126064481569
1750,2000,25491,2481,731,83996066437,51575267281,32420799155
1750,1750,30905,2506,756,88893091539,51547782864,37345308675
1750,1500,32061,2512,762,89843544308,51561255669,38282288638
1750,1250,42674,2545,795,99892557759,51622070475,48270487283
1750,1000,55313,2539,789,114563854442,51757129196,62806725245
1750,750,64867,2879,1129,138955229180,51676171721,87279057459
1750,500,70444,2744,994,179099217140,51998785995,127100431144
1500,2000,25407,2481,981,83719006300,51620890790,32098115510
1500,1750,30667,2506,1006,88664299250,51551309764,37112989486
1500,1500,32594,2539,1039,89980774375,51733502090,38247272284
1500,1250,43412,2611,1111,99977680966,51713127393,48264553573
1500,1000,59462,2822,1322,115487918960,51617644688,63870274272
1500,750,115891,4955,3455,181727218516,51769981667,129957236848
1500,500,307702,12385,10885,415579731092,51852610829,363727120262
2500,2000,25306,2460,0,83805289928,51596526639,32208763288
2500,1750,30795,2460,0,88332852991,51507763578,36825089412
2500,1500,31982,2460,0,89776564841,51982473614,37794091227
2500,1250,40397,2460,0,99661719854,51463988793,48197731061
2500,1000,54456,2460,0,113916287531,51637809499,62278478031
2500,750,57756,2460,0,135858854163,51919706492,83939147671
2500,500,64832,2460,0,175152747462,51804981620,123347765842
2250,2000,25189,2460,210,84061048147,51603692408,32457355739
2250,1750,30530,2460,210,88541989206,51574125285,36967863921
2250,1500,31949,2467,217,89676049874,51575007388,38101042485
2250,1250,40920,2481,231,99373130251,51565676847,47807453403
2250,1000,54835,2472,222,114599949222,51625287152,62974662069
2250,750,56895,2462,212,135173223914,51763525280,83409698633
2250,500,67239,2460,210,174875192887,51809981676,123065211211
2000,2000,25387,2481,481,83866272925,51599142899,32267130026
2000,1750,30681,2481,481,88909477770,51591791859,37317685911
2000,1500,32025,2492,492,89199960542,51541971107,37657989434
2000,1250,41529,2499,498,99548815331,51615678675,47933136656
2000,1000,55576,2509,508,114945371678,51625789138,63319582539
2000,750,58987,2530,530,134379560584,51777889086,82601671498
2000,500,66510,2478,478,176496095198,51851372646,124644722552
1750,2000,25123,2481,731,83830483954,51727640216,32102843738
1750,1750,31410,2504,754,88919686793,51510963870,37408722922
1750,1500,31900,2517,767,90179313349,51696339067,38482974281
1750,1250,42643,2545,795,99769461645,51596114458,48173347187
1750,1000,56320,2541,791,114983357887,51599709063,63383648824
1750,750,65486,2876,1126,138247102247,51697768769,86549333478
1750,500,69916,2744,994,175840552907,51878376884,123962176023
1500,2000,25337,2481,981,83700526313,51634115626,32066410687
1500,1750,31466,2506,1006,88853295227,51527754176,37325541051
1500,1500,32469,2538,1038,90100826056,51588068977,38512757079
1500,1250,42174,2611,1111,99723217320,51577929629,48145287691
1500,1000,58881,2829,1329,115608878231,51624985773,63983892457
1500,750,116955,4951,3451,182375693597,51940363989,130435329608
1500,500,305748,12382,10882,410251335157,51811055878,358440279278
2500,2000,25357,2460,0,83903037340,51542716833,32360320506
2500,1750,31027,2460,0,88737456611,51644565558,37092891052
2500,1500,31031,2460,0,89296453511,51558420446,37738033064
2500,1250,40339,2460,0,99685037937,51703091416,47981946521
2500,1000,54658,2460,0,113700069348,51706958974,61993110374
2500,750,55777,2460,0,134051385189,51916949406,82134435782
2500,500,65113,2460,0,175450575203,51854583214,123595991989
2250,2000,25430,2460,210,83860135866,51677188715,32182947151
2250,1750,30641,2460,210,88776763028,51585036354,37191726673
2250,1500,31149,2466,216,89447039850,51581451666,37865588184
2250,1250,41693,2481,231,99821721028,51585304205,48236416822
2250,1000,55160,2474,224,113533978338,51552448336,61981530002
2250,750,56086,2460,210,133837340912,51773742844,82063598068
2250,500,66963,2460,210,176484950410,52015469968,124469480442
2000,2000,25206,2481,481,84233719123,51616728714,32616990409
2000,1750,31146,2481,481,89027881424,51703558434,37324322989
2000,1500,31960,2492,492,89550157411,51581455989,37968701422
2000,1250,41011,2499,497,100023616267,51627036888,48396579379
2000,1000,56374,2509,509,114260539349,51624566805,62635972543
2000,750,57706,2528,528,134001320781,51727132739,82274188042
2000,500,65845,2478,478,176860811633,52020452476,124840359156
1750,2000,25458,2481,731,84055338478,51745774579,32309563898
1750,1750,31544,2506,756,89059081003,51544802629,37514278374
1750,1500,31652,2512,762,89485970878,51536285287,37949685591
1750,1250,42422,2545,795,100013261021,51563431189,48449829831
1750,1000,56754,2541,791,114702410126,51649809761,63052600365
1750,750,65488,2877,1127,139132565601,51791557632,87341007968
1750,500,71141,2744,994,178228191709,52028926962,126199264746
1500,2000,25002,2481,981,84162192803,51631078300,32531114502
1500,1750,31321,2506,1006,89251221029,51599201353,37652019676
1500,1500,32243,2539,1039,90314771831,51760422716,38554349114
1500,1250,43377,2611,1111,100212136998,51723556174,48488580824
1500,1000,60425,2830,1330,115482209079,51802090191,63680118887
1500,750,117430,4958,3458,181299232269,51754792497,129544439772
1500,500,306817,12367,10867,417072940312,51833443917,365239496395
2500,2000,25283,2460,0,83989303906,51631864746,32357439159
2500,1750,30664,2460,0,88606192739,51510716445,37095476294
2500,1500,31977,2460,0,89647406253,51571982476,38075423776
2500,1250,40901,2460,0,99879371055,51597980189,48281390866
2500,1000,55001,2460,0,114510116687,51627178930,62882937756
2500,750,56841,2460,0,135744899784,51759708219,83985191565
2500,500,65387,2460,0,176125640674,51810738053,124314902621
2250,2000,24714,2460,210,83981751617,51655596456,32326155160
2250,1750,30573,2460,210,88914830278,51578153283,37336676994
2250,1500,31815,2467,217,89215710459,51527622938,37688087521
2250,1250,40982,2481,231,100048143327,51748595338,48299547989
2250,1000,54705,2472,222,115169418026,51892570134,63276847892
2250,750,56752,2460,210,135955290041,51714730679,84240559361
2250,500,66721,2460,210,175582557032,52005530190,123577026842
2000,2000,25512,2481,481,84196903187,51601457150,32595446037
2000,1750,31112,2481,481,88916918643,51584805169,37332113474
2000,1500,32346,2492,492,90219700760,51633436643,38586264117
2000,1250,42086,2499,498,99425949132,51589144213,47836804919
2000,1000,55991,2509,509,114422061283,51692198089,62729863194
2000,750,58283,2530,530,136033808478,51907826063,84125982415
2000,500,67479,2478,478,177187822172,52025879751,125161942421
1750,2000,24892,2481,731,84323843489,51630016712,32693826776
1750,1750,31026,2503,753,88810813874,51574619716,37236194157
1750,1500,32811,2517,767,90079465373,51654316082,38425149290
1750,1250,42898,2545,795,99802637323,51588572664,48214064658
1750,1000,56165,2541,791,114577232763,51668994288,62908238475
1750,750,64972,2944,1194,138034096125,51910555920,86123540204
1750,500,69721,2744,994,176539197748,51869713006,124669484741
1500,2000,25604,2481,981,84549256605,51676638021,32872618583
1500,1750,31390,2506,1006,88928845768,51490309686,37438536081
1500,1500,32457,2544,1044,90098096731,51599130135,38498966596
1500,1250,43563,2611,1111,100417908305,51545261278,48872647027
1500,1000,59483,2825,1325,116065217755,51639661915,64425555840
1500,750,115230,4955,3455,183006966759,51760921434,131246045325
1500,500,307690,12380,10880,410901578386,51831548210,359070030175
2500,2000,25117,2460,0,83817042586,51571814307,32245228279
2500,1750,30536,2460,0,89151629548,51651661343,37499968204
2500,1500,31846,2460,0,89786615517,51598442153,38188173363
2500,1250,41470,2460,0,99906827165,51546831599,48359995566
2500,1000,54652,2460,0,114433239887,51650259906,62782979980
2500,750,57902,2460,0,134823479223,51750351406,83073127816
2500,500,65375,2460,0,179261509019,51864589017,127396920001
2250,2000,25057,2460,210,84633918788,51760991635,32872927153
2250,1750,30483,2460,210,88781900362,51718097935,37063802426
2250,1500,32384,2467,217,90009737612,51567118320,38442619291
2250,1250,41062,2481,231,99903093055,51622945141,48280147913
2250,1000,55005,2472,222,113965547066,51682498908,62283048158
2250,750,57401,2460,210,134454072062,51801318511,82652753550
2250,500,66613,2460,210,176114826718,51891809363,124223017355
2000,2000,25708,2481,481,84208133697,51611798787,32596334910
2000,1750,31056,2481,481,89306643511,51640576789,37666066721
2000,1500,32045,2492,492,90101768563,51546007339,38555761224
2000,1250,41906,2499,499,100179175853,51597529135,48581646717
