compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
predictive.lstm-50;2500;2500;3913;2460;0;86977351528;81027387833;5949963695;None
jit;2500;2500;9580;2460;0;127732854245;83503665789;44229188455;None
predictive.lstm-50;2500;2000;4091;2460;0;87263245199;80956809759;6306435440;None
jit;2500;2000;9457;2460;0;125448041404;83528047281;41919994122;None
predictive.lstm-50;2500;1500;4436;2460;0;91626784939;81639678468;9987106471;None
jit;2500;1500;9392;2460;0;126726549164;84292886835;42433662329;None
predictive.lstm-50;2500;1000;6371;2460;0;120033808646;84668325400;35365483245;None
jit;2500;1000;9449;2460;0;127693835728;83929593215;43764242513;None
predictive.lstm-50;2500;500;8924;2460;0;184836281728;93573184374;91263097354;None
jit;2500;500;9715;2460;0;155242129983;91117941697;64124188285;None
predictive.lstm-50;2000;2500;16072;11437;9425;100896918260;81336144175;19560774084;None
jit;2000;2500;14153;4669;2669;138939030989;83479086931;55459944057;None
predictive.lstm-50;2000;2000;16201;11483;9483;101406399225;81533176141;19873223083;None
jit;2000;2000;14052;4670;2670;140882627207;83673633778;57208993429;None
predictive.lstm-50;2000;1500;15614;11027;9027;108424018092;83551087690;24872930402;None
jit;2000;1500;14130;4675;2675;140068187274;83683694593;56384492681;None
predictive.lstm-50;2000;1000;10978;5752;3744;131525477416;84880209638;46645267778;None
jit;2000;1000;13605;4451;2451;140778583710;84333635352;56444948357;None
predictive.lstm-50;2000;500;10213;3126;1122;186089342725;93539452441;92549890284;None
jit;2000;500;11771;3863;1863;160474082066;91262266656;69211815410;None
predictive.lstm-50;1500;2500;16697;11595;10082;101183198302;81556906459;19626291843;None
jit;1500;2500;16572;6821;5321;146577281475;83635946076;62941335399;None
predictive.lstm-50;1500;2000;16735;11654;10104;101322976746;81443928279;19879048466;None
jit;1500;2000;15328;5450;3950;142775404283;83441382376;59334021906;None
predictive.lstm-50;1500;1500;20119;17368;15843;108877055687;81829664659;27047391027;None
jit;1500;1500;15983;6303;4803;146739180519;84550962873;62188217646;None
predictive.lstm-50;1500;1000;23497;16772;15264;147163562527;84552744430;62610818096;None
jit;1500;1000;17026;6604;5104;151686148382;84574999462;67111148920;None
predictive.lstm-50;1500;500;98149;31004;29499;436709608910;95944001774;340765607136;None
jit;1500;500;17689;6178;4678;185407763131;91527395927;93880367203;None
predictive.lstm-50;1000;2500;23179;23123;22111;105661025826;81298828010;24362197816;None
jit;1000;2500;19764;12139;11139;154718976839;83456193280;71262783559;None
predictive.lstm-50;1000;2000;23321;23168;22156;106091503718;81305806393;24785697325;None
jit;1000;2000;19850;12140;11140;156643853239;84404226098;72239627140;None
predictive.lstm-50;1000;1500;23669;23110;22096;113328364832;81938970722;31389394109;None
jit;1000;1500;19179;11468;10468;152945338540;83702031941;69243306598;None
