global,local,misses,compilations,evictions,e2e,exec,waiting
2500,2500,14280,2460,0,78799752328,52768893326,26030859001
2500,2250,14001,2460,0,79720988760,53531289210,26189699549
2500,2000,13902,2460,0,79261720051,52944186364,26317533687
2500,1750,15604,2460,0,87963040547,53566804048,34396236499
2500,1500,15884,2460,0,88231803276,53050845653,35180957622
2500,1250,16843,2460,0,100078703475,53904484364,46174219111
2500,1000,18166,2460,0,111839352587,54545935146,57293417441
2500,750,18623,2460,0,125172386954,56638513796,68533873157
2500,500,20551,2460,0,147941902893,59258114910,88683787983
2250,2500,13913,2460,192,75648260927,51674299348,23973961579
2250,2250,14008,2460,204,78203031176,52577437369,25625593806
2250,2000,14050,2460,210,78331934885,52101010188,26230924697
2250,1750,16181,2500,250,87891351112,53500746689,34390604423
2250,1500,15882,2490,240,87381043633,53221925515,34159118118
2250,1250,17212,2521,266,101008619253,54090759303,46917859950
2250,1000,17928,2460,210,113666584219,55169900070,58496684148
2250,750,18227,2460,209,125701474572,57299462910,68402011661
2250,500,20234,2460,210,148325497231,59121401012,89204096218
2000,2500,14043,2460,442,81349087145,52765893906,28583193238
2000,2250,14188,2506,506,80429612393,53447681765,26981930627
2000,2000,14180,2506,496,79630017084,52554317641,27075699442
2000,1750,15961,2506,496,87835590375,53454556488,34381033887
2000,1500,16157,2517,517,87870235201,53546337949,34323897251
2000,1250,17072,2528,524,101044676137,54493086371,46551589766
2000,1000,18326,2491,488,111933904321,54881725011,57052179310
2000,750,19280,2561,556,126955542560,57458194693,69497347866
2000,500,20142,2530,524,153145546967,59124614978,94020931989
1750,2500,14160,2460,692,79875611467,52691251478,27184359989
1750,2250,14098,2506,756,79174668977,52827363760,26347305217
1750,2000,14124,2506,756,78750180357,52685476173,26064704183
1750,1750,16268,2556,806,88405928140,53491755196,34914172944
1750,1500,16162,2570,817,88481054066,53361981883,35119072182
1750,1250,17703,2678,922,104372089876,54732571001,49639518874
1750,1000,18456,2624,867,115684902344,55756933612,59927968731
1750,750,41037,7428,5633,226900321191,59267729764,167632591427
1750,500,83687,12028,10273,419751331635,60582671205,359168660430
1500,2500,14206,2460,952,79318507272,53140034124,26178473147
1500,2250,14723,2506,1006,80307135947,53280523884,27026612063
1500,2000,14115,2506,1006,79147522350,52912519451,26235002899
1500,1750,16083,2556,1056,89031123709,54116722865,34914400844
1500,1500,16989,2660,1154,89020171376,53730082171,35290089205
1500,1250,17973,2740,1236,102860010741,54234782874,48625227867
1500,1000,21689,3187,1682,122324940104,56272804811,66052135292
1500,750,56903,11276,9731,279899257546,60663492314,219235765231
1500,500,124001,19410,17905,539694999243,61370516376,478324482867
1250,2500,14024,2460,1195,79757416584,53105666236,26651750347
1250,2250,14431,2506,1256,81323487732,53856505577,27466982154
1250,2000,14171,2506,1256,79830708947,52724691821,27106017125
1250,1750,16284,2623,1373,92589656411,54041080029,38548576382
1250,1500,17106,2677,1427,91382829396,53799583191,37583246205
1250,1250,19047,2960,1705,103454771392,54665995445,48788775947
1250,1000,28097,4462,3207,140681674403,57816232579,82865441824
1250,750,74116,15146,13877,321707723965,62499875420,259207848545
1250,500,154133,25185,23930,613410009173,61190878148,552219131024
1000,2500,14001,2460,1443,80813746899,53572606266,27241140633
1000,2250,14239,2506,1506,80457722181,53128946709,27328775471
1000,2000,14228,2506,1506,79230609880,53008178534,26222431346
1000,1750,16051,2623,1623,88969230950,53758571711,35210659238
1000,1500,17131,2727,1727,92269424786,54436216895,37833207890
