id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74498,0,0,3667344,984,74490,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3742920,0,1,1827476,864,78647,0,1,999999999999,999999999999,999999999999
30,init,20,840,5571040,0,1,1983523,840,79421,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7555211,200000,23380,1961655,824,80986,1866666,11545,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9523431,0,1,5503096,1296,88482,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15027347,0,3,1923794,824,90305,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16957590,0,125,1792326,808,97383,0,125,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18750589,1333333,4819,99036546,9304,98262,234200000,4819,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117799969,0,2,2005144,824,124309,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119808638,0,2,5803154,1320,125767,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125612650,0,2,3352979,984,127505,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,128966771,39533333,13144,9149659,1200,132242,265133333,13931,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138117611,1178600000,44651377,14629238,1824,136028,98518600000,44654748,999999999999,999999999999,999999999999
1512,free,12,808,152747907,66666,9527,1703415,808,140050,733333,9527,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154452191,733333,9596,23289588,2224,140449,28466666,9596,999999999999,999999999999,999999999999
1798,strdup,47,960,177743142,0,3,2511100,960,142139,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180255032,133333,1842,4649556,648,143060,4200000,1863,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184911514,0,1,4624399,1400,166596,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189536752,0,1,1844095,824,167818,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191383319,0,1,1911691,816,175072,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193296621,0,1,9952192,2712,176736,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203249749,0,1,1472280,512,178296,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204722952,0,1,1827481,544,178701,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206551282,0,1,3418946,648,180187,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209971135,0,1,1867528,536,182109,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211842540,0,1,9270038,1976,185459,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221113556,0,5,8632599,1504,186755,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229747120,0,19,4381542,1072,189033,0,19,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234129642,133333,1872,4594749,648,190646,133333,1872,999999999999,999999999999,999999999999
1794,strcmp,105,600,238728440,466666,18717,3552211,600,235333,7866666,18734,999999999999,999999999999,999999999999
2240,check_options,171,1024,242294199,0,1,4259614,1024,598301,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246567567,0,1,2233878,896,1406856,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248802287,0,5,4929630,1120,1407845,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253733646,0,5,2078397,824,1408614,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255812985,0,1,4628718,1360,1409439,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260442606,0,1,1935152,824,1410381,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262380124,66666,792,7284201,1144,1412288,1533333,792,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269665970,0,1,1833895,536,1417691,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271511367,0,1,1785200,808,1802127,0,1,999999999999,999999999999,999999999999
