id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74118,0,0,3669293,984,74482,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3744491,0,1,1826383,864,78632,0,1,999999999999,999999999999,999999999999
30,init,20,840,5571514,0,1,1982794,840,79399,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7554956,200000,23380,1961045,824,80966,1866666,11546,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9522518,0,1,5501651,1296,88481,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15024981,0,3,1922885,824,90287,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16954321,0,125,1792330,808,97326,0,125,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18747322,1333333,4828,99091238,9304,98208,234666666,4828,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117851321,0,2,2005668,824,124185,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119860510,0,2,5809423,1320,125657,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125670782,0,2,3355253,984,127409,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129027181,38933333,13172,9157108,1200,132151,263600000,13984,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138185490,1182133333,44671691,14626307,1824,135929,98397200000,44675178,999999999999,999999999999,999999999999
1512,free,12,808,152812850,133333,9549,1701962,808,139940,733333,9549,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154515677,866666,9619,23283694,2224,140340,28400000,9619,999999999999,999999999999,999999999999
1798,strdup,47,960,177800727,0,3,2507145,960,142027,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180308663,133333,1847,4647080,648,142939,4200000,1868,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184962644,0,1,4622001,1400,166439,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189585479,0,1,1842168,824,167658,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191430099,0,1,1910629,816,174920,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193342323,0,1,9951013,2712,176579,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203294258,0,1,1471440,512,178139,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204766617,0,1,1826910,544,178546,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206594377,0,1,3417809,648,180024,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210013089,0,1,1866559,536,181931,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211883513,0,1,9269658,1976,185268,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221154144,0,5,8633721,1504,186560,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229788820,0,18,4381836,1072,188836,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234171632,133333,1815,4593595,648,190449,133333,1815,999999999999,999999999999,999999999999
1794,strcmp,105,600,238769268,466666,18708,3550629,600,235134,7666666,18726,999999999999,999999999999,999999999999
2240,check_options,171,1024,242333291,0,1,4259555,1024,588477,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246606291,0,1,2233625,896,1377927,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248840759,0,5,4930355,1120,1378920,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253772851,0,5,2077946,824,1379685,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255851739,0,1,4628232,1360,1380509,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260480874,0,1,1933891,824,1381452,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262417145,66666,792,7283133,1144,1383362,1466666,792,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269701922,0,1,1833081,536,1388764,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271546355,0,1,1784519,808,1763702,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273331640,0,1,2136349,584,1764354,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275472218,0,1,1451981,512,1768072,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276925042,0,1,3439147,1112,1768835,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280372784,0,1,4672972,1360,2144451,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285046631,66666,1419,2564026,936,2146001,800000,1437,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287611481,200000,1450,4977137,1072,2147456,1800000,1468,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292589743,733333,1450,13027027,2584,2150220,4866666,1468,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305620196,66666,139,1750180,528,2154290,66666,157,999999999999,999999999999,999999999999
27183,format_line,895,2496,307371393,0,139,12575106,2496,2155806,266666,157,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319947487,0,592,4221794,1048,2157713,1066666,699,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324171123,0,139,6183182,1280,2165373,200000,157,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330355357,66666,2489,4012391,1152,2168017,1466666,2813,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334369418,266666,2489,6915670,1568,2171071,2266666,2813,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341286081,666666,4979,211384526,18952,2172736,13200000,5626,999999999999,999999999999,999999999999
1724,__towrite,94,624,552673404,0,2505,3336836,624,2182877,1733333,2846,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556012232,133333,12098,7093452,1368,2187278,5600000,15279,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563107373,133333,3220,5807244,1808,2192546,6933333,3820,999999999999,999999999999,999999999999
1805,strnlen,27,880,568918840,0,963,2100543,880,2198602,333333,1088,999999999999,999999999999,999999999999
1784,memchr,371,800,571020658,0,1015,7751968,800,2199507,2600000,1140,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578775488,66666,2532,4372181,1176,2216865,1000000,2891,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583149681,66666,636,3186063,616,2222937,2466666,942,999999999999,999999999999,999999999999
1743,snprintf,58,912,586337586,66666,1833,2241348,912,2228245,600000,1850,999999999999,999999999999,999999999999
1572,__isatty,103,968,588584163,0,1,2972117,968,2274827,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591557416,0,4,1771823,824,2276005,0,4,999999999999,999999999999,999999999999
1796,strcpy,17,840,593335441,0,470,1736720,840,2280613,66666,488,999999999999,999999999999,999999999999
