id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,76555,0,0,3646322,984,73090,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3723965,0,1,1839694,864,77329,0,1,999999999999,999999999999,999999999999
30,init,20,840,5564301,0,1,1989324,840,78127,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7554290,0,104,1965670,824,79608,0,104,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9526795,0,1,5509744,1296,87314,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15037464,0,3,1934790,824,89330,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16978383,0,219,1793283,808,96353,0,219,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18772360,2000000,4897,99178087,9304,97226,423000000,4897,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117963790,0,2,2032303,824,122274,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119999814,0,2,5831172,1320,123675,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125831951,0,3,3369217,984,125342,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,129202393,61000000,17026,9162480,1200,129926,253000000,18579,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138366164,2288000000,87442676,14684623,1824,133703,193303000000,87449194,999999999999,999999999999,999999999999
1512,free,12,808,153051892,0,10341,1719473,808,137728,0,10341,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154772330,1000000,10397,23381823,2224,138079,21000000,10397,999999999999,999999999999,999999999999
1798,strdup,47,960,178155599,0,4,2548036,960,139761,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,180704477,0,1487,4666931,648,140811,1000000,1520,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185378772,0,1,4647834,1400,164067,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,190027507,0,1,1855096,824,165228,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191885281,0,1,1920899,816,173006,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193807874,0,1,9976315,2712,174753,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203785228,0,1,1477423,512,176327,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,205263629,0,1,1831215,544,176742,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,207095710,0,1,3426246,648,178257,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210522926,0,1,1872367,536,180240,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,212399233,0,1,9271174,1976,183615,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221671378,0,5,8626028,1504,184938,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,230298469,0,18,4379506,1072,187184,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234678989,0,1971,4599639,648,188828,0,1971,999999999999,999999999999,999999999999
1794,strcmp,105,600,239282794,0,21388,3561350,600,233279,8000000,21421,999999999999,999999999999,999999999999
2240,check_options,171,1024,242857961,0,1,4258560,1024,600500,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,247130825,0,1,2233528,896,1416294,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,249365151,0,5,4926346,1120,1417275,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,254293231,0,5,2077097,824,1418059,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,256371316,0,1,4633695,1360,1418848,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,261005953,0,1,1933545,824,1419740,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262941878,0,559,7285786,1144,1421688,1000000,559,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,270229328,0,1,1834634,536,1427011,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,272075973,0,1,1781783,808,1813869,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273858527,0,1,2135733,584,1814501,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275998189,0,1,1451830,512,1818157,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,277450922,0,1,3433220,1112,1818914,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280893407,0,1,4667999,1360,2207025,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285562357,0,797,2559742,936,2208622,0,830,999999999999,999999999999,999999999999
