id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74109,0,0,3666174,984,74103,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3741367,0,1,1827299,864,78269,0,1,999999999999,999999999999,999999999999
30,init,20,840,5569305,0,1,1982702,840,79039,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7552660,200000,23380,1960809,824,80593,1866666,11546,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9519992,0,1,5501511,1296,88115,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15022323,0,3,1923778,824,89931,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16952532,0,125,1792075,808,96884,0,125,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18745283,1333333,4812,99095300,9304,97764,235000000,4812,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117853404,0,2,2005405,824,123729,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119862342,0,2,5810951,1320,125201,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125674157,0,2,3355457,984,126959,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129030761,38666666,13164,9157707,1200,131672,264000000,14022,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138189675,1179266666,44638591,14628027,1824,135445,98230066666,44642271,999999999999,999999999999,999999999999
1512,free,12,808,152818758,133333,9524,1702182,808,139463,733333,9524,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154521809,666666,9593,23288709,2224,139861,28866666,9593,999999999999,999999999999,999999999999
1798,strdup,47,960,177811878,0,3,2508597,960,141553,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180321265,66666,1846,4648827,648,142479,4066666,1868,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184977028,0,1,4623504,1400,165946,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189601371,0,1,1843014,824,167158,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191446832,0,1,1911125,816,174426,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193359556,0,1,9953180,2712,176088,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203313667,0,1,1471710,512,177646,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204786300,0,1,1827571,544,178057,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206614722,0,1,3418285,648,179544,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210033918,0,1,1867279,536,181461,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211905090,0,1,9269561,1976,184804,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221175627,0,5,8632007,1504,186101,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229808596,0,18,4381524,1072,188374,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234191105,133333,1815,4593828,648,189991,133333,1815,999999999999,999999999999,999999999999
1794,strcmp,105,600,238788983,466666,18717,3551275,600,234636,7400000,18736,999999999999,999999999999,999999999999
2240,check_options,171,1024,242353684,0,1,4259324,1024,587601,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246626495,0,1,2233336,896,1377208,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248860673,0,5,4929997,1120,1378202,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253792415,0,5,2077952,824,1378969,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255871312,0,1,4628197,1360,1379789,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260500414,0,1,1933772,824,1380725,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262436563,0,792,7282733,1144,1382639,1400000,792,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269720940,0,1,1832676,536,1388039,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271565023,0,1,1784551,808,1762934,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273350345,0,1,2135952,584,1763585,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275490521,0,1,1451799,512,1767282,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276943168,0,1,3438095,1112,1768048,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280389883,0,1,4672700,1360,2143585,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285063461,66666,1418,2562648,936,2145142,666666,1437,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287626934,200000,1449,4978136,1072,2146595,1733333,1468,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292606203,800000,1449,13027015,2584,2149357,4733333,1468,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305636654,66666,138,1749392,528,2153437,66666,157,999999999999,999999999999,999999999999
27183,format_line,895,2496,307387061,0,138,12576133,2496,2154951,266666,157,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319964188,0,586,4222444,1048,2156864,933333,699,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324188492,0,138,6183542,1280,2164545,200000,157,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330373105,66666,2471,4013716,1152,2167193,1400000,2813,999999999999,999999999999,999999999999
