id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74114,0,0,3665773,984,74492,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3740969,0,1,1826830,864,78659,0,1,999999999999,999999999999,999999999999
30,init,20,840,5568438,0,1,1982702,840,79428,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7551789,200000,23380,1961385,824,80990,1866666,11546,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9519695,0,1,5501301,1296,88528,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15021815,0,3,1922964,824,90354,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16951237,0,125,1792408,808,97399,0,125,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18744316,1333333,4828,99099996,9304,98278,233933333,4828,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117857135,0,2,2006594,824,124140,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119867263,0,2,5810786,1320,125603,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125678903,0,2,3356554,984,127350,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129036608,39000000,13250,9159169,1200,132073,264133333,14062,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138196983,1176666666,44670159,14631121,1824,135846,98496600000,44673647,999999999999,999999999999,999999999999
1512,free,12,808,152829165,133333,9548,1703140,808,139856,733333,9548,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154533177,733333,9618,23287764,2224,140251,28400000,9618,999999999999,999999999999,999999999999
1798,strdup,47,960,177822305,0,3,2509993,960,141937,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180333093,133333,1847,4648519,648,142863,4066666,1868,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184988552,0,1,4623529,1400,166334,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189612917,0,1,1842679,824,167548,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191458066,0,1,1911226,816,174804,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193370898,0,1,9951154,2712,176475,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203322973,0,1,1471383,512,178035,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204795281,0,1,1827120,544,178447,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206623254,0,1,3418233,648,179932,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210042395,0,1,1866638,536,181849,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211912896,0,1,9269563,1976,185192,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221183438,0,5,8633521,1504,186487,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229817922,0,18,4380961,1072,188759,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234199860,133333,1812,4593195,648,190373,133333,1812,999999999999,999999999999,999999999999
1794,strcmp,105,600,238797103,466666,18717,3550788,600,235093,7866666,18734,999999999999,999999999999,999999999999
2240,check_options,171,1024,242361289,0,1,4259462,1024,586756,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246634155,0,1,2233399,896,1372654,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248868393,0,5,4930249,1120,1373644,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253800380,0,5,2077331,824,1374404,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255878658,0,1,4628139,1360,1375219,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260507708,0,1,1933466,824,1376154,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262443551,66666,792,7283251,1144,1378064,1533333,792,999999999999,999999999999,999999999999
