id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74217,0,0,3668060,984,74390,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3743357,0,1,1827905,864,78521,0,1,999999999999,999999999999,999999999999
30,init,20,840,5571900,0,1,1982990,840,79291,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7555539,200000,23383,1961499,824,80855,1866666,11548,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9523563,0,1,5502257,1296,88381,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15026639,0,3,1923891,824,90198,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16956939,0,125,1792165,808,97187,0,125,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18749776,1266666,4894,99090970,9304,98071,235200000,4894,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117853521,0,2,2007565,824,123911,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119864618,0,2,5811755,1320,125383,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125677231,0,2,3356468,984,127128,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129034853,38600000,13478,9156865,1200,131850,265066666,14322,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138192924,1181600000,44670398,14631101,1824,135623,98421866666,44673949,999999999999,999999999999,999999999999
1512,free,12,808,152825084,133333,9730,1703349,808,139623,733333,9730,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154529307,933333,9802,23290450,2224,140021,29066666,9802,999999999999,999999999999,999999999999
1798,strdup,47,960,177821119,0,3,2510064,960,141705,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180331978,133333,1853,4647705,648,142624,4200000,1872,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184986606,0,1,4623301,1400,166098,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189610745,0,1,1841750,824,167313,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191454957,0,1,1910735,816,174533,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193367294,0,1,9951423,2712,176200,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203319647,0,1,1471821,512,177764,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204792391,0,1,1826554,544,178175,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206619795,0,1,3418011,648,179659,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210038715,0,1,1865864,536,181573,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211908448,0,1,9268596,1976,184912,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221177979,0,5,8633215,1504,186210,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229812158,0,18,4381148,1072,188483,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234194284,133333,1811,4593574,648,190097,133333,1811,999999999999,999999999999,999999999999
1794,strcmp,105,600,238791900,400000,18882,3550648,600,234699,7733333,18900,999999999999,999999999999,999999999999
2240,check_options,171,1024,242355942,0,1,4259228,1024,585998,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246628618,0,1,2233272,896,1369285,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248862734,0,5,4930362,1120,1370277,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253794832,0,5,2077349,824,1371044,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255873130,0,1,4628464,1360,1371866,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260502494,0,1,1933352,824,1372809,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262438233,66666,794,7282572,1144,1374725,1466666,794,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269722449,0,1,1832257,536,1380104,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271566067,0,1,1783980,808,1751879,0,1,999999999999,999999999999,999999999999
