id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,72821,0,0,3689599,984,76812,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3763426,0,1,1833307,864,80894,0,1,999999999999,999999999999,999999999999
30,init,20,840,5597335,0,1,1985123,840,81676,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7583061,0,104,1960160,824,83301,0,104,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9549640,0,1,5492820,1296,91062,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15043197,0,3,1920220,824,92868,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16970003,0,219,1791297,808,99553,0,219,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18761929,0,5831,98983289,9304,100396,381000000,5831,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117758276,0,2,2006017,824,126514,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119767665,0,2,5783090,1320,127985,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125551519,0,3,3346791,984,129806,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,128899530,48000000,15005,9155267,1200,134446,428000000,16521,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138055857,304000000,11693722,14622564,1824,138279,26167000000,11700094,999999999999,999999999999,999999999999
1512,free,12,808,152679396,0,11694,1701664,808,142390,1000000,11694,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154381877,0,11765,23272007,2224,142756,121000000,11765,999999999999,999999999999,999999999999
1798,strdup,47,960,177655203,0,4,2498983,960,144474,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,180154957,1000000,1509,4648980,648,145463,7000000,1541,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184810696,0,1,4622621,1400,168855,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189434117,0,1,1850180,824,170090,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191286797,0,1,1908714,816,177671,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193197114,0,1,9965138,2712,179395,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203163150,0,1,1471370,512,181046,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204635411,0,1,1828620,544,181430,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206464841,0,1,3418455,648,183024,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209884146,0,1,1864425,536,185009,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211752360,0,1,9279909,1976,188406,0,1,999999999999,999999999999,999999999999
