id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74434,0,0,3668680,984,74086,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3744196,0,1,1827797,864,78240,0,1,999999999999,999999999999,999999999999
30,init,20,840,5572631,0,1,1983058,840,79010,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7556335,200000,23381,1961138,824,80573,1866666,11546,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9524016,0,1,5502350,1296,88104,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15027188,0,3,1923630,824,89922,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16957215,0,140,1792504,808,96954,0,140,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18750393,1466666,5059,99096044,9304,97837,262666666,5059,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117859248,0,2,2007953,824,123675,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119870736,0,2,5811594,1320,125141,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125683184,0,2,3356250,984,126888,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129040578,42533333,14123,9158370,1200,131618,274733333,15041,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138200155,1334533333,50500792,14630165,1824,135395,111282933333,50504724,999999999999,999999999999,999999999999
1512,free,12,808,152831379,133333,10063,1703268,808,139408,733333,10063,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154535517,933333,10135,23289519,2224,139807,29533333,10135,999999999999,999999999999,999999999999
1798,strdup,47,960,177826395,0,3,2509738,960,141494,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180336926,133333,1871,4648365,648,142406,4000000,1894,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184992232,0,1,4624030,1400,165878,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189617104,0,1,1843732,824,167094,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191463307,0,1,1911543,816,174369,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193376452,0,1,9953552,2712,176030,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203330932,0,1,1471911,512,177588,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204803766,0,1,1827139,544,177998,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206631754,0,1,3418350,648,179472,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210051006,0,1,1867030,536,181375,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211921907,0,1,9268206,1976,184712,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221191088,0,5,8632828,1504,186005,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229824878,0,18,4381617,1072,188279,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234207474,133333,1857,4593539,648,189894,133333,1857,999999999999,999999999999,999999999999
1794,strcmp,105,600,238805066,466666,19789,3551356,600,234542,7933333,19809,999999999999,999999999999,999999999999
2240,check_options,171,1024,242369909,0,1,4259762,1024,594406,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246643343,0,1,2233659,896,1396606,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248877841,0,5,4929116,1120,1397598,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253808691,0,5,2077937,824,1398365,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255887575,0,1,4628623,1360,1399188,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260517100,0,1,1933924,824,1400134,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262453400,66666,801,7282753,1144,1402046,1533333,801,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269737800,0,1,1833133,536,1407459,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271582393,0,1,1784032,808,1788847,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273367191,0,1,2136304,584,1789503,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275507663,0,1,1451787,512,1793215,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276960296,0,1,3438791,1112,1793975,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280407793,0,1,4672137,1360,2176154,0,1,999999999999,999999999999,999999999999
