id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74180,0,0,3668970,984,74601,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3744231,0,1,1826063,864,78742,0,1,999999999999,999999999999,999999999999
30,init,20,840,5570935,0,1,1983425,840,79510,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7555011,200000,23386,1961165,824,81063,1866666,11551,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9522702,0,1,5501336,1296,88573,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15024860,0,3,1923311,824,90394,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16954570,0,140,1792213,808,97445,0,140,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18747456,1466666,5104,99097072,9304,98322,262866666,5104,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117857359,0,2,2008484,824,124148,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119869385,0,2,5811247,1320,125605,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125681493,0,2,3356690,984,127333,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129039342,42333333,14190,9157754,1200,132065,275066666,15109,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138198310,1334666666,50500822,14630014,1824,135846,111283666666,50504755,999999999999,999999999999,999999999999
1512,free,12,808,152829381,133333,10145,1703094,808,139834,600000,10145,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154533349,933333,10218,23291003,2224,140225,29266666,10218,999999999999,999999999999,999999999999
1798,strdup,47,960,177825713,0,3,2509377,960,141907,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180335889,133333,1871,4646327,648,142826,4200000,1894,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184989137,0,1,4622460,1400,166295,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189612432,0,1,1843035,824,167516,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191457936,0,1,1911565,816,174885,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193371099,0,1,9952753,2712,176549,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203324782,0,1,1471698,512,178111,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204797402,0,1,1827123,544,178513,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206625373,0,1,3418191,648,179999,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210044471,0,1,1866902,536,181914,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211915197,0,1,9269072,1976,185256,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221185248,0,5,8633751,1504,186551,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229819967,0,18,4381567,1072,188827,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234202511,66666,1839,4593875,648,190445,133333,1839,999999999999,999999999999,999999999999
1794,strcmp,105,600,238800436,466666,19789,3551358,600,235080,8000000,19809,999999999999,999999999999,999999999999
2240,check_options,171,1024,242365239,0,1,4259649,1024,591847,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246638455,0,1,2233195,896,1388207,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248872486,0,5,4929719,1120,1389205,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253803941,0,5,2077302,824,1389979,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255882190,0,1,4627915,1360,1390793,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260511008,0,1,1934292,824,1391731,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262447686,66666,801,7284434,1144,1393652,1466666,801,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269733763,0,1,1833416,536,1399025,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271578608,0,1,1784577,808,1777271,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273363951,0,1,2136392,584,1777916,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275504550,0,1,1452183,512,1781633,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276957578,0,1,3438842,1112,1782397,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280405082,0,1,4672889,1360,2161425,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285078854,66666,1438,2564014,936,2162983,800000,1458,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287643689,200000,1472,4977246,1072,2164434,1733333,1492,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292622061,733333,1472,13025602,2584,2167189,4800000,1492,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305651094,66666,141,1749702,528,2171262,66666,161,999999999999,999999999999,999999999999
27183,format_line,895,2496,307401815,0,141,12575937,2496,2172775,333333,161,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319978743,0,602,4222959,1048,2174683,1000000,723,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324203560,0,141,6185282,1280,2182322,200000,161,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330389909,66666,2540,4011643,1152,2184967,1466666,2904,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334403228,266666,2540,6917082,1568,2188020,2600000,2904,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341321308,666666,5081,211376550,18952,2189680,14333333,5809,999999999999,999999999999,999999999999
1724,__towrite,94,624,552700657,0,2557,3341383,624,2199827,1866666,2941,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556044032,133333,12435,7092710,1368,2204228,6000000,16024,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563138444,200000,3297,5807603,1808,2209520,7133333,3973,999999999999,999999999999,999999999999
1805,strnlen,27,880,568950264,0,999,2100340,880,2215561,133333,1139,999999999999,999999999999,999999999999
1784,memchr,371,800,571051877,0,1052,7753270,800,2216462,2866666,1193,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578808020,66666,2586,4372307,1176,2233807,1066666,2990,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583182346,66666,682,3186165,616,2239880,2600000,1026,999999999999,999999999999,999999999999
1743,snprintf,58,912,586370362,0,1835,2240465,912,2245167,600000,1856,999999999999,999999999999,999999999999
1572,__isatty,103,968,588616070,0,1,2972151,968,2291713,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591589367,0,4,1771296,824,2292878,0,4,999999999999,999999999999,999999999999
1796,strcpy,17,840,593366864,0,509,1736173,840,2297505,66666,529,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,595104112,0,509,6432750,776,2298210,866666,529,999999999999,999999999999,999999999999
27187,sanitize,146,600,601538950,66666,564,3554942,600,2301651,3533333,644,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,605095057,66666,564,3752585,1096,2302786,266666,644,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,608849399,0,1,4176789,1224,2319974,0,1,999999999999,999999999999,999999999999
27191,ansi_fputs,464,1232,613029659,0,144,5411398,1232,2333239,200000,164,999999999999,999999999999,999999999999
1727,fputs,38,944,618441975,66666,144,2173244,944,2335367,0,164,999999999999,999999999999,999999999999
1735,fwrite,278,1384,620616868,66666,144,7585659,1384,2338339,133333,164,999999999999,999999999999,999999999999
1710,__stdio_write,316,1368,628203901,0,144,7107816,1368,2340669,133333,164,999999999999,999999999999,999999999999
1709,writev,115,984,635312832,0,144,3055591,984,2342326,266666,164,999999999999,999999999999,999999999999
1551,__wasi_fd_write,22,824,638369504,0,147,1923277,824,2343540,200000,167,999999999999,999999999999,999999999999
1920,av_bprint_finalize,354,1280,640320907,0,161,5581729,1280,2363184,466666,201,999999999999,999999999999,999999999999
27189,ff_mutex_unlock.50956,22,528,645904108,0,141,1746873,528,2365917,0,161,999999999999,999999999999,999999999999
2259,print_all_libs_info,3335,6088,647695289,0,2,29409975,6088,3296958,0,2,999999999999,999999999999,999999999999
2261,avutil_configuration,3,512,677107126,0,1,1396307,512,3298497,0,1,999999999999,999999999999,999999999999
2263,avcodec_configuration,3,512,678506155,0,1,1323308,512,3398661,0,1,999999999999,999999999999,999999999999
2265,avformat_configuration,3,512,679831347,0,1,1381632,512,3498262,0,1,999999999999,999999999999,999999999999
2267,avdevice_configuration,3,512,681214675,0,1,1434836,512,3598400,0,1,999999999999,999999999999,999999999999
2269,avfilter_configuration,3,512,682651182,0,1,1437927,512,3697932,0,1,999999999999,999999999999,999999999999
2271,swscale_configuration,3,512,684090722,0,1,1439758,512,3797722,0,1,999999999999,999999999999,999999999999
2273,swresample_configuration,3,512,685532171,0,1,1440776,512,3897418,0,1,999999999999,999999999999,999999999999
