dataset,workload,run,e2e,waiting,dynamic.code.size,static.code.size,cpu
oracle,mov-to-mp4,0,101771987956,47910251,1498952,1266848,102747973787
oracle,mov-to-mp4,1,101715285545,47423499,1498952,1266848,102688676947
oracle,mov-to-mp4,2,101743952454,47689197,1498952,1266848,102716358841
oracle,mov-to-mp4,3,101791373443,47812830,1498952,1266848,102763506298
oracle,mp4-to-mkv,0,97979615486,57124763,1456360,1243504,98884060732
oracle,mp4-to-mkv,1,96785562492,57464391,1456360,1243504,97695870775
oracle,mp4-to-mkv,2,96722739235,57113651,1456360,1243504,97626852736
oracle,mp4-to-mkv,3,96495389142,87596995,1456360,1243504,97430468527
oracle,mp4-to-wav,0,472562439,0,743192,743192,472562439
oracle,mp4-to-wav,1,465495336,0,743192,743192,465495336
oracle,mp4-to-wav,2,466828146,0,743192,743192,466828146
oracle,mp4-to-wav,3,466837076,0,743192,743192,466837076
oracle,mp4-resize-720p,0,33309802151,32875167,1459424,1326592,33741125782
oracle,mp4-resize-720p,1,32963698229,33080003,1459424,1326592,33395784263
oracle,mp4-resize-720p,2,33064851394,32842750,1459424,1326592,33496254246
oracle,mp4-resize-720p,3,33611288728,67483042,1459424,1326592,34076834252
oracle,jpegs-to-mp4,0,369735845,0,757752,757752,369735845
oracle,jpegs-to-mp4,1,370792106,0,757752,757752,370792106
oracle,jpegs-to-mp4,2,374807665,0,757752,757752,374807665
oracle,jpegs-to-mp4,3,369974122,0,757752,757752,369974122
oracle,mp4-trim,0,465264876,0,700296,700296,465264876
oracle,mp4-trim,1,474365805,0,700296,700296,474365805
oracle,mp4-trim,2,479845728,0,700296,700296,479845728
oracle,mp4-trim,3,463226307,0,700296,700296,463226307
oracle,mp4-flip-vertical,0,113438768707,85213184,1514768,1269568,114462549324
oracle,mp4-flip-vertical,1,114608248640,85026972,1514768,1269568,115634080832
oracle,mp4-flip-vertical,2,113789020833,87671745,1514768,1269568,114816002229
oracle,mp4-flip-vertical,3,113768844607,82986524,1514768,1269568,114791647300
oracle,mp4s-concat,0,4217197350,0,729344,729344,4217197350
oracle,mp4s-concat,1,4208186501,0,729344,729344,4208186501
oracle,mp4s-concat,2,4149150311,0,729344,729344,4149150311
oracle,mp4s-concat,3,4143267683,0,729344,729344,4143267683
oracle,mp4-stream-copy,0,521039214,0,697560,697560,521039214
oracle,mp4-stream-copy,1,521387025,0,697560,697560,521387025
oracle,mp4-stream-copy,2,525139553,0,697560,697560,525139553
oracle,mp4-stream-copy,3,521659223,0,697560,697560,521659223
oracle,mp4-to-pngs,0,17223018279,0,836896,836896,17223018279
oracle,mp4-to-pngs,1,17708717224,0,836896,836896,17708717224
oracle,mp4-to-pngs,2,17234755920,0,836896,836896,17234755920
oracle,mp4-to-pngs,3,17264223629,0,836896,836896,17264223629
oracle,mp4-speedup-2x,0,68308160680,28681332,1430688,1273600,68858756086
oracle,mp4-speedup-2x,1,68317816915,28608449,1430688,1273600,68866308430
oracle,mp4-speedup-2x,2,68290526116,28591365,1430688,1273600,68838926332
oracle,mp4-speedup-2x,3,68034035735,28626074,1430688,1273600,68582781679
oracle,mp4-slowdown-2x,0,186348090135,69500588,1531032,1273560,187424697751
oracle,mp4-slowdown-2x,1,188160720659,68515140,1531032,1273560,189236313044
