workload,dataset,e2e.mean,e2e.std,e2e.count,waiting.mean,waiting.std,waiting.count,cpu.mean,cpu.std,cpu.count,dynamic.code.size.mean,dynamic.code.size.std,dynamic.code.size.count,static.code.size.mean,static.code.size.std,static.code.size.count
jpegs-to-mp4,leave_one_out,2963127308.75,6103055.800533444,4,2698269803.25,7100961.09981365,4,5904947432.0,12310052.087360693,4,1958016.0,0.0,4,758288.0,0.0,4
jpegs-to-mp4,oracle,371327434.5,2363838.1779927984,4,0.0,0.0,4,371327434.5,2363838.1779927984,4,1515504.0,0.0,4,757752.0,0.0,4
mov-to-mp4,leave_one_out,103604031223.0,214303386.91720048,4,439660357.75,535408.1545122825,4,105043259870.75,215581961.0275163,4,2884696.0,0.0,4,1266840.0,0.0,4
mov-to-mp4,oracle,101755649849.5,33212522.717647355,4,47708944.25,210701.68586475548,4,102729128968.25,33348514.048117127,4,2765800.0,0.0,4,1266848.0,0.0,4
mp4-flip-vertical,leave_one_out,114309615787.5,801131766.3484154,4,85629397.75,4590947.057906343,4,115862943575.0,913124686.5294231,4,2823496.0,0.0,4,1269560.0,0.0,4
mp4-flip-vertical,oracle,113901220696.75,497949995.45572776,4,85224606.25,1918045.010254343,4,114926069921.25,498770198.1865011,4,2784336.0,0.0,4,1269568.0,0.0,4
mp4-gaussian-blur,leave_one_out,132353420940.0,3039610641.9993296,4,199512516.0,2342063.568764516,4,133754011992.75,3038191529.9802957,4,2852200.0,0.0,4,1278696.0,0.0,4
mp4-gaussian-blur,oracle,426182562315.5,834796476.7510732,4,54004604.25,134127.21276055955,4,427316717037.0,834082256.7002181,4,2820152.0,0.0,4,1278688.0,0.0,4
mp4-mono-audio,leave_one_out,100649638209.25,438811334.1744346,4,78183795.75,10584855.713277165,4,102147856452.75,454102636.1017981,4,2817128.0,0.0,4,1268352.0,0.0,4
mp4-mono-audio,oracle,100039036326.0,596198086.4858137,4,50740375.0,325640.9462470389,4,101009751795.25,594664189.4111105,4,2767800.0,0.0,4,1268344.0,0.0,4
mp4-remove-audio,leave_one_out,113453844690.0,6608304835.497292,4,124430431.25,23755014.167776052,4,115202386158.75,6608037044.619215,4,2626424.0,0.0,4,1173080.0,0.0,4
mp4-remove-audio,oracle,96336474080.25,706217334.2138377,4,71713199.25,17115482.632860254,4,97559965661.75,701520597.5907041,4,2591280.0,0.0,4,1173096.0,0.0,4
mp4-resize-720p,leave_one_out,31366552265.0,468095403.6113831,4,532121281.0,1423928.82966741,4,32441942396.25,468642161.7015659,4,2977672.0,0.0,4,1326592.0,0.0,4
mp4-resize-720p,oracle,33237410125.5,288513739.052326,4,41570240.5,17275520.329672668,4,33677499635.75,303166546.51168334,4,2786016.0,0.0,4,1326592.0,0.0,4
mp4-slowdown-2x,leave_one_out,211896576982.5,929433382.0284115,4,67858912.5,426496.9403286095,4,212994956008.25,929859321.0524638,4,2782784.0,0.0,4,1273552.0,0.0,4
mp4-slowdown-2x,oracle,186954421702.5,1049374613.7297044,4,110920339.75,83987099.6489104,4,188184206641.75,860979103.5389959,4,2804592.0,0.0,4,1273560.0,0.0,4
mp4-speedup-2x,leave_one_out,61613954881.75,1130295018.5449164,4,77777453.25,7200032.452590307,4,63090291445.5,1127331662.5283155,4,2831576.0,0.0,4,1273608.0,0.0,4
mp4-speedup-2x,oracle,68237634861.5,136202229.41484055,4,28626805.0,39015.656797410906,4,68786693131.75,136430510.83689225,4,2704288.0,0.0,4,1273600.0,0.0,4
mp4-stream-copy,leave_one_out,1976184657.75,4590991.086661817,4,1341091780.75,5314051.346812961,4,4044715573.75,6389377.472003428,4,1616344.0,0.0,4,697872.0,0.0,4
mp4-stream-copy,oracle,522306253.75,1905833.5581754146,4,0.0,0.0,4,522306253.75,1905833.5581754146,4,1395120.0,0.0,4,697560.0,0.0,4
mp4-to-flac,leave_one_out,2413824600.5,13629551.04541326,4,1604215244.0,127933210.19148898,4,4821645909.0,36431593.52810604,4,1864952.0,0.0,4,782048.0,0.0,4
mp4-to-flac,oracle,530788215.0,5117537.699486793,4,0.0,0.0,4,530788215.0,5117537.699486793,4,1563552.0,0.0,4,781776.0,0.0,4
mp4-to-mkv,leave_one_out,98466080924.75,160899526.38169324,4,1817382355.25,3239777.278784156,4,100022000147.5,163268607.3829959,4,3050072.0,0.0,4,1243488.0,0.0,4
mp4-to-mkv,oracle,96995826588.75,667599162.577441,4,64824950.0,15182236.049375555,4,97909313192.5,659486303.7530407,4,2699864.0,0.0,4,1243504.0,0.0,4
mp4-to-pngs,leave_one_out,10057013379.25,141169674.20920184,4,1323783679.25,23895230.092390873,4,13586333597.0,151601064.75417677,4,2007680.0,0.0,4,837232.0,0.0,4
mp4-to-pngs,oracle,17357678763.0,234666667.46296608,4,0.0,0.0,4,17357678763.0,234666667.46296608,4,1673792.0,0.0,4,836896.0,0.0,4
mp4-to-wav,leave_one_out,1848306082.25,14694107.104640584,4,1180234634.5,14553332.31637244,4,3689833717.5,27096331.664725523,4,1713536.0,0.0,4,743928.0,0.0,4
mp4-to-wav,oracle,467930749.25,3151488.682258315,4,0.0,0.0,4,467930749.25,3151488.682258315,4,1486384.0,0.0,4,743192.0,0.0,4
mp4-trim,leave_one_out,2181434617.5,162100911.0856106,4,1458929830.5,199015174.4848788,4,4402404286.75,313736370.5016651,4,1639088.0,0.0,4,700768.0,0.0,4
mp4-trim,oracle,470675679.0,7799076.031972634,4,0.0,0.0,4,470675679.0,7799076.031972634,4,1400592.0,0.0,4,700296.0,0.0,4
mp4s-concat,leave_one_out,8497647077.0,49913560.19177823,4,1235783484.5,6530627.497290823,4,13159670605.5,55098077.11421909,4,1715304.0,0.0,4,729424.0,0.0,4
mp4s-concat,oracle,4179450461.25,38634527.46736491,4,0.0,0.0,4,4179450461.25,38634527.46736491,4,1458688.0,0.0,4,729344.0,0.0,4
