workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1080000000,1080000000,0,0,68,0,0,0,0
default,sweep,14.0,0,1080000000,1080000000,0,0,68,0,0,0,0
default,sweep,33.0,0,1080000000,1080000000,0,0,68,0,0,0,0
default,sweep,75.0,0,1080000000,1080000000,0,0,68,0,0,0,0
default,sweep,175.0,0,1080000000,1080000000,0,0,68,0,0,0,0
default,sweep,407.0,0,1080000000,1080000000,0,0,68,0,0,0,0
default,sweep,945.0,520,1070741396,1070000000,741396,1482793,67,0,1,0,0
default,sweep,2193.0,2120,301179274,290000000,11179274,22358549,67,0,1,0,0
default,sweep,4096.0,3840,56516729,40000000,16516729,33033458,65,0,3,0,0
default,sweep,5092.0,5040,51920671,40000000,11920671,23841342,65,0,2,0,1
default,sweep,11821.0,10976,40000000,40000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,40000000,40000000,0,0,59,0,0,0,9
default,sweep,27446.0,26592,40000000,40000000,0,0,53,0,0,0,15
default,sweep,63724.0,60944,40000000,40000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,40000000,40000000,0,0,36,0,0,0,32
default,sweep,147952.0,147952,40000000,40000000,0,0,27,0,0,0,41
default,interpret,,0,1080000000,1080000000,0,0,68,0,0,0,0
default,jit,,73976,567657057,40000000,527657057,527657057,0,68,0,0,0
default,static,,171704,40000000,40000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,147952,40000000,40000000,0,0,27,0,0,0,41
