workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,440000000,440000000,0,0,68,0,0,0,0
default,sweep,14.0,0,440000000,440000000,0,0,68,0,0,0,0
default,sweep,33.0,0,440000000,440000000,0,0,68,0,0,0,0
default,sweep,76.0,0,440000000,440000000,0,0,68,0,0,0,0
default,sweep,176.0,0,440000000,440000000,0,0,68,0,0,0,0
default,sweep,408.0,0,440000000,440000000,0,0,68,0,0,0,0
default,sweep,947.0,520,430811367,430000000,811367,1622734,67,0,1,0,0
default,sweep,2200.0,1720,145399696,140000000,5399696,10799393,66,0,2,0,0
default,sweep,4096.0,3840,36584875,20000000,16584875,33169750,65,0,3,0,0
default,sweep,5111.0,5040,31996545,20000000,11996545,23993091,65,0,2,0,1
default,sweep,11873.0,10976,20000000,20000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,20000000,20000000,0,0,59,0,0,0,9
default,sweep,27582.0,25936,20000000,20000000,0,0,53,0,0,0,15
default,sweep,64075.0,63728,20000000,20000000,0,0,36,0,0,0,32
default,sweep,65536.0,63728,20000000,20000000,0,0,36,0,0,0,32
default,sweep,148848.0,148848,20000000,20000000,0,0,27,0,0,0,41
default,interpret,,0,440000000,440000000,0,0,68,0,0,0,0
default,jit,,74424,548608189,20000000,528608189,528608189,0,68,0,0,0
default,static,,172600,20000000,20000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,148848,20000000,20000000,0,0,27,0,0,0,41
default,aot+jit,,172600,20000000,20000000,0,0,0,0,0,0,68
default,aot+interp,,172600,20000000,20000000,0,0,0,0,0,0,68
default,interp+jit,,3840,53169750,20000000,33169750,33169750,65,3,0,0,0
