workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,2150000000,2150000000,0,0,68,0,0,0,0
default,sweep,14.0,0,2150000000,2150000000,0,0,68,0,0,0,0
default,sweep,32.0,0,2150000000,2150000000,0,0,68,0,0,0,0
default,sweep,75.0,0,2150000000,2150000000,0,0,68,0,0,0,0
default,sweep,175.0,0,2150000000,2150000000,0,0,68,0,0,0,0
default,sweep,405.0,0,2150000000,2150000000,0,0,68,0,0,0,0
default,sweep,939.0,520,2140818131,2140000000,818131,1636262,67,0,1,0,0
default,sweep,2178.0,1720,755424414,750000000,5424414,10848828,66,0,2,0,0
default,sweep,4096.0,3840,96579668,80000000,16579668,33159336,65,0,3,0,0
default,sweep,5050.0,5040,91973385,80000000,11973385,23946770,65,0,2,0,1
default,sweep,11711.0,10976,80000000,80000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,80000000,80000000,0,0,59,0,0,0,9
default,sweep,27160.0,25936,80000000,80000000,0,0,53,0,0,0,15
default,sweep,62984.0,60944,80000000,80000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,80000000,80000000,0,0,36,0,0,0,32
default,sweep,146064.0,146064,80000000,80000000,0,0,27,0,0,0,41
default,interpret,,0,2150000000,2150000000,0,0,68,0,0,0,0
default,jit,,73032,724431742,80000000,644431742,644431742,0,68,0,0,0
default,static,,169816,80000000,80000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,146064,80000000,80000000,0,0,27,0,0,0,41
