workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,37750000000,37750000000,0,0,73,0,0,0,0
default,sweep,18.0,0,37750000000,37750000000,0,0,73,0,0,0,0
default,sweep,42.0,0,37750000000,37750000000,0,0,73,0,0,0,0
default,sweep,96.0,0,37750000000,37750000000,0,0,73,0,0,0,0
default,sweep,223.0,0,37750000000,37750000000,0,0,73,0,0,0,0
default,sweep,516.0,0,37750000000,37750000000,0,0,73,0,0,0,0
default,sweep,1193.0,1160,33912229524,33910000000,2229524,4459049,71,0,2,0,0
default,sweep,2759.0,2464,23508844142,23500000000,8844142,17688284,71,0,2,0,0
default,sweep,4096.0,3664,15210499345,15200000000,10499345,20998691,70,0,3,0,0
default,sweep,6384.0,6200,10736796302,10720000000,16796302,33592605,68,0,5,0,0
default,sweep,14769.0,14680,5590252718,5550000000,40252718,80505436,61,0,12,0,0
default,sweep,16384.0,16264,5107398632,5060000000,47398632,94797264,61,0,12,0,0
default,sweep,34167.0,34152,2556526901,2410000000,146526901,293053803,59,0,14,0,0
default,sweep,65536.0,65272,570247557,400000000,170247557,340495114,46,0,23,0,4
default,sweep,79044.0,78856,484301902,400000000,84301902,168603805,46,0,23,0,4
default,sweep,182864.0,182864,390000000,390000000,0,0,25,0,0,0,48
default,interpret,,0,37750000000,37750000000,0,0,73,0,0,0,0
default,jit,,91432,913770704,390000000,523770704,523770704,0,73,0,0,0
default,static,,209864,390000000,390000000,0,0,0,0,0,0,73
default,unbounded min-E2E,,182864,390000000,390000000,0,0,25,0,0,0,48
