workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,2130000000,2130000000,0,0,68,0,0,0,0
default,sweep,14.0,0,2130000000,2130000000,0,0,68,0,0,0,0
default,sweep,32.0,0,2130000000,2130000000,0,0,68,0,0,0,0
default,sweep,75.0,0,2130000000,2130000000,0,0,68,0,0,0,0
default,sweep,175.0,0,2130000000,2130000000,0,0,68,0,0,0,0
default,sweep,405.0,0,2130000000,2130000000,0,0,68,0,0,0,0
default,sweep,941.0,520,2120737821,2120000000,737821,1475642,67,0,1,0,0
default,sweep,2182.0,1720,785340569,780000000,5340569,10681138,66,0,2,0,0
default,sweep,4096.0,3840,76438188,60000000,16438188,32876376,65,0,3,0,0
default,sweep,5062.0,5040,71835440,60000000,11835440,23670880,65,0,2,0,1
default,sweep,11743.0,10976,60000000,60000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,60000000,60000000,0,0,59,0,0,0,9
default,sweep,27242.0,25936,60000000,60000000,0,0,53,0,0,0,15
default,sweep,63198.0,60944,60000000,60000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,60000000,60000000,0,0,36,0,0,0,32
default,sweep,146608.0,146608,60000000,60000000,0,0,27,0,0,0,41
default,interpret,,0,2130000000,2130000000,0,0,68,0,0,0,0
default,jit,,73304,561171883,60000000,501171883,501171883,0,68,0,0,0
default,static,,170360,60000000,60000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,146608,60000000,60000000,0,0,27,0,0,0,41
