workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,11250000000,11250000000,0,0,66,0,0,0,0
default,sweep,15.0,0,11250000000,11250000000,0,0,66,0,0,0,0
default,sweep,35.0,0,11250000000,11250000000,0,0,66,0,0,0,0
default,sweep,80.0,0,11250000000,11250000000,0,0,66,0,0,0,0
default,sweep,186.0,0,11250000000,11250000000,0,0,66,0,0,0,0
default,sweep,429.0,0,11250000000,11250000000,0,0,66,0,0,0,0
default,sweep,993.0,552,4850950072,4850000000,950072,1900144,65,0,1,0,0
default,sweep,2296.0,2296,1805098020,1800000000,5098020,10196040,62,0,4,0,0
default,sweep,4096.0,4088,88807156,80000000,8807156,17614313,59,0,7,0,0
default,sweep,5310.0,5256,85907151,80000000,5907151,11814302,59,0,5,0,2
default,sweep,12282.0,11840,80000000,80000000,0,0,56,0,0,0,10
default,sweep,16384.0,15680,80000000,80000000,0,0,53,0,0,0,13
default,sweep,28406.0,27152,80000000,80000000,0,0,46,0,0,0,20
default,sweep,65536.0,65056,80000000,80000000,0,0,28,0,0,0,38
default,sweep,65699.0,65056,80000000,80000000,0,0,28,0,0,0,38
default,sweep,151952.0,151952,80000000,80000000,0,0,20,0,0,0,46
default,interpret,,0,11250000000,11250000000,0,0,66,0,0,0,0
default,jit,,75976,592159585,80000000,512159585,512159585,0,66,0,0,0
default,static,,170000,80000000,80000000,0,0,0,0,0,0,66
default,unbounded min-E2E,,151952,80000000,80000000,0,0,20,0,0,0,46
default,aot+jit,,170000,80000000,80000000,0,0,0,0,0,0,66
default,aot+interp,,170000,80000000,80000000,0,0,0,0,0,0,66
default,interp+jit,,4088,97614313,80000000,17614313,17614313,59,7,0,0,0
