workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,7585000000,7585000000,0,0,75,0,0,0,0
default,sweep,14.0,0,7585000000,7585000000,0,0,75,0,0,0,0
default,sweep,32.0,0,7585000000,7585000000,0,0,75,0,0,0,0
default,sweep,75.0,0,7585000000,7585000000,0,0,75,0,0,0,0
default,sweep,173.0,0,7585000000,7585000000,0,0,75,0,0,0,0
default,sweep,401.0,0,7585000000,7585000000,0,0,75,0,0,0,0
default,sweep,928.0,904,6246473995,6245000000,1473995,2947991,74,0,1,0,0
default,sweep,2147.0,1768,5192776885,5190000000,2776885,5553771,73,0,2,0,0
default,sweep,4096.0,3848,2663932403,2640000000,23932403,47864806,73,0,2,0,0
default,sweep,4966.0,4752,1325406398,1300000000,25406398,50812797,72,0,3,0,0
default,sweep,11489.0,11360,194661806,185000000,9661806,19323612,69,0,5,0,1
default,sweep,16384.0,16312,182279951,175000000,7279951,14559902,67,0,5,0,3
default,sweep,26579.0,25824,175000000,175000000,0,0,62,0,0,0,13
default,sweep,61490.0,60592,175000000,175000000,0,0,41,0,0,0,34
default,sweep,65536.0,64384,175000000,175000000,0,0,39,0,0,0,36
default,sweep,142256.0,142256,175000000,175000000,0,0,17,0,0,0,58
default,interpret,,0,7585000000,7585000000,0,0,75,0,0,0,0
default,jit,,71128,557392129,175000000,382392129,382392129,0,75,0,0,0
default,static,,158512,175000000,175000000,0,0,0,0,0,0,75
default,unbounded min-E2E,,142256,175000000,175000000,0,0,17,0,0,0,58
