workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,6964760000000,6964760000000,0,0,124,0,0,0,0
default,sweep,44.0,0,6964760000000,6964760000000,0,0,124,0,0,0,0
default,sweep,102.0,0,6964760000000,6964760000000,0,0,124,0,0,0,0
default,sweep,235.0,0,6964760000000,6964760000000,0,0,124,0,0,0,0
default,sweep,543.0,536,6964360899601,6964360000000,899601,1799203,123,0,1,0,0
default,sweep,1256.0,1200,6960094591014,6960090000000,4591014,9182028,123,0,1,0,0
default,sweep,2902.0,2680,6019289728668,6019280000000,9728668,19457337,123,0,1,0,0
default,sweep,4096.0,3720,5553838387695,5553820000000,18387695,36775391,122,0,2,0,0
default,sweep,6708.0,6640,4560440207061,4560390000000,50207061,100414123,122,0,2,0,0
default,sweep,15505.0,15336,1817692576980,1817610000000,82576980,165153960,119,0,4,0,1
default,sweep,16384.0,16280,876888614236,876800000000,88614236,177228472,119,0,5,0,0
default,sweep,35838.0,35368,48325267522,48070000000,255267522,510535045,119,0,5,0,0
default,sweep,65536.0,64968,41259775337,41020000000,239775337,479550675,116,0,4,0,4
default,sweep,82833.0,82352,41105472490,41020000000,85472490,170944981,116,0,5,0,3
default,sweep,191454.0,190512,41020000000,41020000000,0,0,71,0,0,0,53
default,sweep,262144.0,250880,41020000000,41020000000,0,0,57,0,0,0,67
default,sweep,442512.0,442512,41020000000,41020000000,0,0,54,0,0,0,70
default,interpret,,0,6964760000000,6964760000000,0,0,124,0,0,0,0
default,jit,,221256,42828964350,41020000000,1808964350,1808964350,0,124,0,0,0
default,static,,517280,41020000000,41020000000,0,0,0,0,0,0,124
default,unbounded min-E2E,,442512,41020000000,41020000000,0,0,54,0,0,0,70
default,aot+jit,,517280,41020000000,41020000000,0,0,0,0,0,0,124
default,aot+interp,,517280,41020000000,41020000000,0,0,0,0,0,0,124
default,interp+jit,,53944,41644123014,41020000000,624123014,624123014,116,8,0,0,0
