workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,13720000000,13720000000,0,0,221,0,0,0,0
default,sweep,41.0,0,13720000000,13720000000,0,0,221,0,0,0,0
default,sweep,95.0,0,13720000000,13720000000,0,0,221,0,0,0,0
default,sweep,219.0,0,13720000000,13720000000,0,0,221,0,0,0,0
default,sweep,506.0,0,13720000000,13720000000,0,0,221,0,0,0,0
default,sweep,1169.0,648,10812004005,10810000000,2004005,4008011,220,0,1,0,0
default,sweep,2700.0,2528,7788159822,7770000000,18159822,36319644,220,0,1,0,0
default,sweep,4096.0,3808,3771912942,3750000000,21912942,43825884,218,0,3,0,0
default,sweep,6240.0,5688,2629692046,2600000000,29692046,59384093,216,0,5,0,0
default,sweep,14418.0,14232,793099494,710000000,83099494,166198988,214,0,7,0,0
default,sweep,16384.0,15824,659418225,570000000,89418225,178836450,212,0,9,0,0
default,sweep,33315.0,33064,467941542,420000000,47941542,95883084,210,0,8,0,3
default,sweep,65536.0,65320,179508811,60000000,119508811,239017623,209,0,11,0,1
default,sweep,76979.0,76392,107941542,60000000,47941542,95883084,209,0,8,0,4
default,sweep,177870.0,175968,60000000,60000000,0,0,151,0,0,0,70
default,sweep,262144.0,260240,60000000,60000000,0,0,113,0,0,0,108
default,sweep,410992.0,410992,60000000,60000000,0,0,82,0,0,0,139
default,interpret,,0,13720000000,13720000000,0,0,221,0,0,0,0
default,jit,,205496,1853235696,60000000,1793235696,1793235696,0,221,0,0,0
default,static,,557952,60000000,60000000,0,0,0,0,0,0,221
default,unbounded min-E2E,,410992,60000000,60000000,0,0,82,0,0,0,139
default,aot+jit,,557952,60000000,60000000,0,0,0,0,0,0,221
default,aot+interp,,557952,60000000,60000000,0,0,0,0,0,0,221
default,interp+jit,,21992,659017623,420000000,239017623,239017623,210,11,0,0,0
