workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,209510000000,209510000000,0,0,102,0,0,0,0
default,sweep,20.0,0,209510000000,209510000000,0,0,102,0,0,0,0
default,sweep,46.0,0,209510000000,209510000000,0,0,102,0,0,0,0
default,sweep,108.0,0,209510000000,209510000000,0,0,102,0,0,0,0
default,sweep,249.0,0,209510000000,209510000000,0,0,102,0,0,0,0
default,sweep,578.0,0,209510000000,209510000000,0,0,102,0,0,0,0
default,sweep,1340.0,1200,144934619041,144930000000,4619041,9238083,101,0,1,0,0
default,sweep,3107.0,2368,66065290891,66050000000,15290891,30581783,101,0,1,0,0
default,sweep,4096.0,3568,1489909933,1470000000,19909933,39819866,100,0,2,0,0
default,sweep,7205.0,6352,896800679,880000000,16800679,33601358,99,0,2,0,1
default,sweep,16384.0,16144,870000000,870000000,0,0,96,0,0,0,6
default,sweep,16705.0,16144,870000000,870000000,0,0,96,0,0,0,6
default,sweep,38733.0,37168,870000000,870000000,0,0,82,0,0,0,20
default,sweep,65536.0,64624,870000000,870000000,0,0,67,0,0,0,35
default,sweep,89806.0,87920,870000000,870000000,0,0,56,0,0,0,46
default,sweep,208224.0,208224,870000000,870000000,0,0,38,0,0,0,64
default,interpret,,0,209510000000,209510000000,0,0,102,0,0,0,0
default,jit,,104112,1538242725,870000000,668242725,668242725,0,102,0,0,0
default,static,,244016,870000000,870000000,0,0,0,0,0,0,102
default,unbounded min-E2E,,208224,870000000,870000000,0,0,38,0,0,0,64
