workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1422780000000,1422780000000,0,0,68,0,0,0,0
default,sweep,14.0,0,1422780000000,1422780000000,0,0,68,0,0,0,0
default,sweep,32.0,0,1422780000000,1422780000000,0,0,68,0,0,0,0
default,sweep,75.0,0,1422780000000,1422780000000,0,0,68,0,0,0,0
default,sweep,175.0,0,1422780000000,1422780000000,0,0,68,0,0,0,0
default,sweep,406.0,0,1422780000000,1422780000000,0,0,68,0,0,0,0
default,sweep,942.0,0,1422780000000,1422780000000,0,0,68,0,0,0,0
default,sweep,2186.0,1200,6104593078,6100000000,4593078,9186156,67,0,1,0,0
default,sweep,4096.0,3424,6100000000,6100000000,0,0,66,0,0,0,2
default,sweep,5073.0,4448,6100000000,6100000000,0,0,65,0,0,0,3
default,sweep,11772.0,11600,6100000000,6100000000,0,0,60,0,0,0,8
default,sweep,16384.0,14896,6100000000,6100000000,0,0,58,0,0,0,10
default,sweep,27318.0,27248,6100000000,6100000000,0,0,51,0,0,0,17
default,sweep,63392.0,62624,6100000000,6100000000,0,0,36,0,0,0,32
default,sweep,65536.0,62624,6100000000,6100000000,0,0,36,0,0,0,32
default,sweep,147104.0,147104,6100000000,6100000000,0,0,27,0,0,0,41
default,interpret,,0,1422780000000,1422780000000,0,0,68,0,0,0,0
default,jit,,73552,6624747374,6100000000,524747374,524747374,0,68,0,0,0
default,static,,170856,6100000000,6100000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,147104,6100000000,6100000000,0,0,27,0,0,0,41
