workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1630000000,1630000000,0,0,290,0,0,0,0
default,sweep,52.0,0,1630000000,1630000000,0,0,290,0,0,0,0
default,sweep,120.0,0,1630000000,1630000000,0,0,290,0,0,0,0
default,sweep,278.0,0,1630000000,1630000000,0,0,290,0,0,0,0
default,sweep,642.0,0,1630000000,1630000000,0,0,290,0,0,0,0
default,sweep,1484.0,960,1473748482,1470000000,3748482,7496964,289,0,1,0,0
default,sweep,3430.0,2504,1162155068,1150000000,12155068,24310136,288,0,2,0,0
default,sweep,4096.0,3704,1116730682,1100000000,16730682,33461364,287,0,3,0,0
default,sweep,7928.0,6976,826274985,800000000,26274985,52549971,285,0,5,0,0
default,sweep,16384.0,15864,225620476,160000000,65620476,131240953,284,0,6,0,0
default,sweep,18323.0,18272,172996806,100000000,72996806,145993612,282,0,8,0,0
default,sweep,42350.0,42104,32800715,30000000,2800715,5601431,280,0,1,0,9
default,sweep,65536.0,64480,20000000,20000000,0,0,263,0,0,0,27
default,sweep,97882.0,96864,20000000,20000000,0,0,243,0,0,0,47
default,sweep,226235.0,225344,20000000,20000000,0,0,182,0,0,0,108
default,sweep,262144.0,260784,20000000,20000000,0,0,170,0,0,0,120
default,sweep,522896.0,522896,20000000,20000000,0,0,127,0,0,0,163
default,interpret,,0,1630000000,1630000000,0,0,290,0,0,0,0
default,jit,,261448,1489860514,20000000,1469860514,1469860514,0,290,0,0,0
default,static,,755296,20000000,20000000,0,0,0,0,0,0,290
default,unbounded min-E2E,,522896,20000000,20000000,0,0,127,0,0,0,163
default,aot+jit,,755296,20000000,20000000,0,0,0,0,0,0,290
default,aot+interp,,755296,20000000,20000000,0,0,0,0,0,0,290
default,interp+jit,,21656,198991945,30000000,168991945,168991945,280,10,0,0,0
