workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1870580000000,1870580000000,0,0,82,0,0,0,0
default,sweep,21.0,0,1870580000000,1870580000000,0,0,82,0,0,0,0
default,sweep,49.0,0,1870580000000,1870580000000,0,0,82,0,0,0,0
default,sweep,112.0,0,1870580000000,1870580000000,0,0,82,0,0,0,0
default,sweep,260.0,0,1870580000000,1870580000000,0,0,82,0,0,0,0
default,sweep,601.0,0,1870580000000,1870580000000,0,0,82,0,0,0,0
default,sweep,1390.0,1008,1167403361487,1167400000000,3361487,6722975,81,0,1,0,0
default,sweep,3214.0,2608,385707119846,385700000000,7119846,14239692,80,0,2,0,0
default,sweep,4096.0,3904,350650032608,350640000000,10032608,20065216,79,0,3,0,0
default,sweep,7434.0,6672,72163075868,72140000000,23075868,46151736,78,0,4,0,0
default,sweep,16384.0,16344,17482549504,17420000000,62549504,125099009,74,0,8,0,0
default,sweep,17193.0,17168,17481550857,17420000000,61550857,123101715,74,0,7,0,1
default,sweep,39764.0,39328,16620000000,16620000000,0,0,71,0,0,0,11
default,sweep,65536.0,64448,16620000000,16620000000,0,0,53,0,0,0,29
default,sweep,91967.0,90192,16620000000,16620000000,0,0,39,0,0,0,43
default,sweep,212704.0,212704,16620000000,16620000000,0,0,18,0,0,0,64
default,interpret,,0,1870580000000,1870580000000,0,0,82,0,0,0,0
default,jit,,106352,17325801544,16620000000,705801544,705801544,0,82,0,0,0
default,static,,227896,16620000000,16620000000,0,0,0,0,0,0,82
default,unbounded min-E2E,,212704,16620000000,16620000000,0,0,18,0,0,0,64
default,aot+jit,,227896,16620000000,16620000000,0,0,0,0,0,0,82
default,aot+interp,,227896,16620000000,16620000000,0,0,0,0,0,0,82
default,interp+jit,,18640,16755692364,16620000000,135692364,135692364,73,9,0,0,0
