workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,530000000,530000000,0,0,68,0,0,0,0
default,sweep,14.0,0,530000000,530000000,0,0,68,0,0,0,0
default,sweep,32.0,0,530000000,530000000,0,0,68,0,0,0,0
default,sweep,75.0,0,530000000,530000000,0,0,68,0,0,0,0
default,sweep,175.0,0,530000000,530000000,0,0,68,0,0,0,0
default,sweep,406.0,0,530000000,530000000,0,0,68,0,0,0,0
default,sweep,941.0,0,530000000,530000000,0,0,68,0,0,0,0
default,sweep,2183.0,1200,274577242,270000000,4577242,9154485,67,0,1,0,0
default,sweep,4096.0,3320,45697876,30000000,15697876,31395753,66,0,2,0,0
default,sweep,5063.0,4520,41120634,30000000,11120634,22241268,66,0,1,0,1
default,sweep,11747.0,10976,30000000,30000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,30000000,30000000,0,0,59,0,0,0,9
default,sweep,27252.0,25936,30000000,30000000,0,0,53,0,0,0,15
default,sweep,63223.0,60944,30000000,30000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,30000000,30000000,0,0,36,0,0,0,32
default,sweep,146672.0,146672,30000000,30000000,0,0,27,0,0,0,41
default,interpret,,0,530000000,530000000,0,0,68,0,0,0,0
default,jit,,73336,543431107,30000000,513431107,513431107,0,68,0,0,0
default,static,,170424,30000000,30000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,146672,30000000,30000000,0,0,27,0,0,0,41
default,aot+jit,,170424,30000000,30000000,0,0,0,0,0,0,68
default,aot+interp,,170424,30000000,30000000,0,0,0,0,0,0,68
default,interp+jit,,3320,61395753,30000000,31395753,31395753,66,2,0,0,0
