workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,500000000,500000000,0,0,68,0,0,0,0
default,sweep,14.0,0,500000000,500000000,0,0,68,0,0,0,0
default,sweep,32.0,0,500000000,500000000,0,0,68,0,0,0,0
default,sweep,75.0,0,500000000,500000000,0,0,68,0,0,0,0
default,sweep,175.0,0,500000000,500000000,0,0,68,0,0,0,0
default,sweep,405.0,0,500000000,500000000,0,0,68,0,0,0,0
default,sweep,940.0,0,500000000,500000000,0,0,68,0,0,0,0
default,sweep,2180.0,1200,254594738,250000000,4594738,9189476,67,0,1,0,0
default,sweep,4096.0,3320,55796457,40000000,15796457,31592915,66,0,2,0,0
default,sweep,5056.0,4520,51201719,40000000,11201719,22403439,66,0,1,0,1
default,sweep,11727.0,11552,40000000,40000000,0,0,62,0,0,0,6
default,sweep,16384.0,14800,40000000,40000000,0,0,60,0,0,0,8
default,sweep,27201.0,26688,40000000,40000000,0,0,53,0,0,0,15
default,sweep,63091.0,62688,40000000,40000000,0,0,37,0,0,0,31
default,sweep,65536.0,62688,40000000,40000000,0,0,37,0,0,0,31
default,sweep,146336.0,145296,40000000,40000000,0,0,28,0,0,0,40
default,interpret,,0,500000000,500000000,0,0,68,0,0,0,0
default,jit,,73168,560865654,50000000,510865654,510865654,0,68,0,0,0
default,static,,170088,50000000,50000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145296,40000000,40000000,0,0,28,0,0,0,40
