workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,13110000000,13110000000,0,0,88,0,0,0,0
default,sweep,18.0,0,13110000000,13110000000,0,0,88,0,0,0,0
default,sweep,42.0,0,13110000000,13110000000,0,0,88,0,0,0,0
default,sweep,97.0,0,13110000000,13110000000,0,0,88,0,0,0,0
default,sweep,224.0,0,13110000000,13110000000,0,0,88,0,0,0,0
default,sweep,519.0,0,13110000000,13110000000,0,0,88,0,0,0,0
default,sweep,1201.0,864,391287458,390000000,1287458,2574916,87,0,1,0,0
default,sweep,2783.0,2112,381287458,380000000,1287458,2574916,86,0,1,0,1
default,sweep,4096.0,4000,380000000,380000000,0,0,85,0,0,0,3
default,sweep,6448.0,6048,380000000,380000000,0,0,83,0,0,0,5
default,sweep,14940.0,13856,380000000,380000000,0,0,77,0,0,0,11
default,sweep,16384.0,15472,380000000,380000000,0,0,76,0,0,0,12
default,sweep,34612.0,33648,380000000,380000000,0,0,65,0,0,0,23
default,sweep,65536.0,64240,380000000,380000000,0,0,49,0,0,0,39
default,sweep,80187.0,77808,380000000,380000000,0,0,43,0,0,0,45
default,sweep,185776.0,185776,380000000,380000000,0,0,24,0,0,0,64
default,interpret,,0,13110000000,13110000000,0,0,88,0,0,0,0
default,jit,,92888,958869827,380000000,578869827,578869827,0,88,0,0,0
default,static,,208104,380000000,380000000,0,0,0,0,0,0,88
default,unbounded min-E2E,,185776,380000000,380000000,0,0,24,0,0,0,64
