workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,8331380000000,8331380000000,0,0,201,0,0,0,0
default,sweep,59.0,0,8331380000000,8331380000000,0,0,201,0,0,0,0
default,sweep,136.0,0,8331380000000,8331380000000,0,0,201,0,0,0,0
default,sweep,315.0,0,8331380000000,8331380000000,0,0,201,0,0,0,0
default,sweep,728.0,560,7401851016326,7401850000000,1016326,2032653,200,0,1,0,0
default,sweep,1684.0,1640,5923012797829,5923010000000,2797829,5595658,198,0,3,0,0
default,sweep,3892.0,3840,4705290356477,4705280000000,10356477,20712954,195,0,6,0,0
default,sweep,4096.0,3840,4705290356477,4705280000000,10356477,20712954,195,0,6,0,0
default,sweep,8995.0,8744,3170615016800,3170590000000,25016800,50033601,191,0,10,0,0
default,sweep,16384.0,16152,1684405378211,1684350000000,55378211,110756422,186,0,15,0,0
default,sweep,20790.0,20744,1127436705259,1127370000000,66705259,133410519,179,0,22,0,0
default,sweep,48052.0,47968,385049991285,384880000000,169991285,339982570,169,0,32,0,0
default,sweep,65536.0,65368,256921528023,256680000000,241528023,483056046,167,0,34,0,0
default,sweep,111063.0,110792,168478073437,168040000000,438073437,876146874,154,0,47,0,0
default,sweep,256700.0,256656,167773972839,167720000000,53972839,107945678,145,0,27,0,29
default,sweep,262144.0,262144,167759330630,167720000000,39330630,78661260,145,0,23,0,33
default,sweep,593312.0,593312,167710000000,167710000000,0,0,40,0,0,0,161
default,interpret,,0,8331380000000,8331380000000,0,0,201,0,0,0,0
default,jit,,296656,169707560667,167710000000,1997560667,1997560667,0,201,0,0,0
default,static,,646552,167710000000,167710000000,0,0,0,0,0,0,201
default,unbounded min-E2E,,593312,167710000000,167710000000,0,0,40,0,0,0,161
