workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1480000000,1480000000,0,0,68,0,0,0,0
default,sweep,14.0,0,1480000000,1480000000,0,0,68,0,0,0,0
default,sweep,33.0,0,1480000000,1480000000,0,0,68,0,0,0,0
default,sweep,75.0,0,1480000000,1480000000,0,0,68,0,0,0,0
default,sweep,175.0,0,1480000000,1480000000,0,0,68,0,0,0,0
default,sweep,407.0,0,1480000000,1480000000,0,0,68,0,0,0,0
default,sweep,944.0,0,1480000000,1480000000,0,0,68,0,0,0,0
default,sweep,2192.0,2120,311163245,300000000,11163245,22326491,67,0,1,0,0
default,sweep,4096.0,3320,75770241,60000000,15770241,31540483,66,0,2,0,0
default,sweep,5090.0,4520,71163245,60000000,11163245,22326491,66,0,1,0,1
default,sweep,11818.0,10976,60000000,60000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,60000000,60000000,0,0,59,0,0,0,9
default,sweep,27437.0,25936,60000000,60000000,0,0,53,0,0,0,15
default,sweep,63699.0,60944,60000000,60000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,60000000,60000000,0,0,36,0,0,0,32
default,sweep,147888.0,147888,60000000,60000000,0,0,27,0,0,0,41
default,interpret,,0,1480000000,1480000000,0,0,68,0,0,0,0
default,jit,,73944,585734595,60000000,525734595,525734595,0,68,0,0,0
default,static,,171640,60000000,60000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,147888,60000000,60000000,0,0,27,0,0,0,41
default,aot+jit,,171640,60000000,60000000,0,0,0,0,0,0,68
default,aot+interp,,171640,60000000,60000000,0,0,0,0,0,0,68
default,interp+jit,,3320,91540483,60000000,31540483,31540483,66,2,0,0,0
