workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,410000000,410000000,0,0,299,0,0,0,0
default,sweep,48.0,0,410000000,410000000,0,0,299,0,0,0,0
default,sweep,111.0,0,410000000,410000000,0,0,299,0,0,0,0
default,sweep,257.0,0,410000000,410000000,0,0,299,0,0,0,0
default,sweep,594.0,0,410000000,410000000,0,0,299,0,0,0,0
default,sweep,1374.0,928,273745157,270000000,3745157,7490315,298,0,1,0,0
default,sweep,3179.0,2592,162878725,150000000,12878725,25757450,297,0,2,0,0
default,sweep,4096.0,4040,156975802,140000000,16975802,33951605,296,0,3,0,0
default,sweep,7353.0,6752,68244490,50000000,18244490,36488980,296,0,2,0,1
default,sweep,16384.0,16144,40000000,40000000,0,0,292,0,0,0,7
default,sweep,17009.0,16240,40000000,40000000,0,0,292,0,0,0,7
default,sweep,39344.0,38384,10000000,10000000,0,0,285,0,0,0,14
default,sweep,65536.0,64800,10000000,10000000,0,0,265,0,0,0,34
default,sweep,91009.0,89648,10000000,10000000,0,0,250,0,0,0,49
default,sweep,210518.0,209040,10000000,10000000,0,0,196,0,0,0,103
default,sweep,262144.0,259328,10000000,10000000,0,0,180,0,0,0,119
default,sweep,486960.0,486960,10000000,10000000,0,0,152,0,0,0,147
default,interpret,,0,410000000,410000000,0,0,299,0,0,0,0
default,jit,,243480,1485774598,10000000,1475774598,1475774598,0,299,0,0,0
default,static,,730376,10000000,10000000,0,0,0,0,0,0,299
default,unbounded min-E2E,,486960,10000000,10000000,0,0,152,0,0,0,147
default,aot+jit,,730376,10000000,10000000,0,0,0,0,0,0,299
default,aot+interp,,730376,10000000,10000000,0,0,0,0,0,0,299
default,interp+jit,,6536,102950270,40000000,62950270,62950270,295,4,0,0,0
