workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,880000000,880000000,0,0,68,0,0,0,0
default,sweep,14.0,0,880000000,880000000,0,0,68,0,0,0,0
default,sweep,32.0,0,880000000,880000000,0,0,68,0,0,0,0
default,sweep,75.0,0,880000000,880000000,0,0,68,0,0,0,0
default,sweep,175.0,0,880000000,880000000,0,0,68,0,0,0,0
default,sweep,405.0,0,880000000,880000000,0,0,68,0,0,0,0
default,sweep,938.0,0,880000000,880000000,0,0,68,0,0,0,0
default,sweep,2176.0,2120,321244435,310000000,11244435,22488870,67,0,1,0,0
default,sweep,4096.0,3320,85851998,70000000,15851998,31703996,66,0,2,0,0
default,sweep,5045.0,4520,81244435,70000000,11244435,22488870,66,0,1,0,1
default,sweep,11697.0,10976,70000000,70000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,70000000,70000000,0,0,59,0,0,0,9
default,sweep,27123.0,25936,70000000,70000000,0,0,53,0,0,0,15
default,sweep,62890.0,60944,70000000,70000000,0,0,37,0,0,0,31
default,sweep,65536.0,64368,70000000,70000000,0,0,36,0,0,0,32
default,sweep,145824.0,145824,70000000,70000000,0,0,27,0,0,0,41
default,interpret,,0,880000000,880000000,0,0,68,0,0,0,0
default,jit,,72912,609004151,70000000,539004151,539004151,0,68,0,0,0
default,static,,169576,70000000,70000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145824,70000000,70000000,0,0,27,0,0,0,41
