workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,970000000,970000000,0,0,68,0,0,0,0
default,sweep,14.0,0,970000000,970000000,0,0,68,0,0,0,0
default,sweep,32.0,0,970000000,970000000,0,0,68,0,0,0,0
default,sweep,75.0,0,970000000,970000000,0,0,68,0,0,0,0
default,sweep,175.0,0,970000000,970000000,0,0,68,0,0,0,0
default,sweep,405.0,0,970000000,970000000,0,0,68,0,0,0,0
default,sweep,938.0,0,970000000,970000000,0,0,68,0,0,0,0
default,sweep,2175.0,1888,287661255,280000000,7661255,15322510,67,0,1,0,0
default,sweep,4096.0,3088,42304169,30000000,12304169,24608338,66,0,2,0,0
default,sweep,5043.0,4976,34642914,30000000,4642914,9285828,66,0,1,0,1
default,sweep,11694.0,10512,30000000,30000000,0,0,62,0,0,0,6
default,sweep,16384.0,15376,30000000,30000000,0,0,59,0,0,0,9
default,sweep,27113.0,25488,30000000,30000000,0,0,53,0,0,0,15
default,sweep,62865.0,60480,30000000,30000000,0,0,37,0,0,0,31
default,sweep,65536.0,63264,30000000,30000000,0,0,36,0,0,0,32
default,sweep,145760.0,145760,30000000,30000000,0,0,27,0,0,0,41
default,interpret,,0,970000000,970000000,0,0,68,0,0,0,0
default,jit,,72880,536251349,30000000,506251349,506251349,0,68,0,0,0
default,static,,169512,30000000,30000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145760,30000000,30000000,0,0,27,0,0,0,41
default,aot+jit,,169512,30000000,30000000,0,0,0,0,0,0,68
default,aot+interp,,169512,30000000,30000000,0,0,0,0,0,0,68
default,interp+jit,,3088,54608338,30000000,24608338,24608338,66,2,0,0,0
