workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,848440000000,848440000000,0,0,104,0,0,0,0
default,sweep,21.0,0,848440000000,848440000000,0,0,104,0,0,0,0
default,sweep,49.0,0,848440000000,848440000000,0,0,104,0,0,0,0
default,sweep,113.0,0,848440000000,848440000000,0,0,104,0,0,0,0
default,sweep,261.0,0,848440000000,848440000000,0,0,104,0,0,0,0
default,sweep,605.0,0,848440000000,848440000000,0,0,104,0,0,0,0
default,sweep,1402.0,1024,848440000000,848440000000,0,0,103,0,0,0,1
default,sweep,3248.0,1768,394213065959,394210000000,3065959,6131919,103,0,1,0,0
default,sweep,4096.0,3568,16015461068,16010000000,5461068,10922136,102,0,2,0,0
default,sweep,7526.0,6920,15923957495,15920000000,3957495,7914991,101,0,2,0,1
default,sweep,16384.0,15760,15920000000,15920000000,0,0,96,0,0,0,8
default,sweep,17438.0,17072,15920000000,15920000000,0,0,95,0,0,0,9
default,sweep,40402.0,40064,15920000000,15920000000,0,0,81,0,0,0,23
default,sweep,65536.0,63792,15920000000,15920000000,0,0,68,0,0,0,36
default,sweep,93607.0,92896,15920000000,15920000000,0,0,54,0,0,0,50
default,sweep,216880.0,216880,15920000000,15920000000,0,0,33,0,0,0,71
default,interpret,,0,848440000000,848440000000,0,0,104,0,0,0,0
default,jit,,108440,16524416468,15920000000,604416468,604416468,0,104,0,0,0
default,static,,247192,15920000000,15920000000,0,0,0,0,0,0,104
default,unbounded min-E2E,,216880,15920000000,15920000000,0,0,33,0,0,0,71
default,aot+jit,,247192,15920000000,15920000000,0,0,0,0,0,0,104
default,aot+interp,,247192,15920000000,15920000000,0,0,0,0,0,0,104
default,interp+jit,,5152,15934046910,15920000000,14046910,14046910,101,3,0,0,0
