workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,36970000000,36970000000,0,0,427,0,0,0,0
default,sweep,77.0,0,36970000000,36970000000,0,0,427,0,0,0,0
default,sweep,178.0,0,36970000000,36970000000,0,0,427,0,0,0,0
default,sweep,411.0,0,36970000000,36970000000,0,0,427,0,0,0,0
default,sweep,951.0,840,36282849707,36280000000,2849707,5699415,426,0,1,0,0
default,sweep,2199.0,1744,3770779978,3760000000,10779978,21559956,426,0,1,0,0
default,sweep,4096.0,3688,2918322527,2900000000,18322527,36645055,424,0,3,0,0
default,sweep,5084.0,4928,2821854492,2800000000,21854492,43708984,423,0,4,0,0
default,sweep,11752.0,11568,284448136,230000000,54448136,108896272,418,0,9,0,0
default,sweep,16384.0,15960,220697402,150000000,70697402,141394805,415,0,12,0,0
default,sweep,27168.0,27128,159154364,140000000,19154364,38308728,414,0,6,0,7
default,sweep,62805.0,62160,100000000,100000000,0,0,408,0,0,0,19
default,sweep,65536.0,65456,100000000,100000000,0,0,405,0,0,0,22
default,sweep,145188.0,144336,70000000,70000000,0,0,373,0,0,0,54
default,sweep,262144.0,260224,70000000,70000000,0,0,307,0,0,0,120
default,sweep,335637.0,334256,70000000,70000000,0,0,272,0,0,0,155
default,sweep,775904.0,775904,70000000,70000000,0,0,189,0,0,0,238
default,interpret,,0,36970000000,36970000000,0,0,427,0,0,0,0
default,jit,,387952,2562807648,70000000,2492807648,2492807648,0,427,0,0,0
default,static,,1034200,70000000,70000000,0,0,0,0,0,0,427
default,unbounded min-E2E,,775904,70000000,70000000,0,0,189,0,0,0,238
