workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,51990000000,51990000000,0,0,1785,0,0,0,0
default,sweep,118.0,0,51990000000,51990000000,0,0,1785,0,0,0,0
default,sweep,273.0,0,51990000000,51990000000,0,0,1785,0,0,0,0
default,sweep,631.0,0,51990000000,51990000000,0,0,1785,0,0,0,0
default,sweep,1458.0,1200,40164606712,40160000000,4606712,9213424,1784,0,1,0,0
default,sweep,3370.0,3016,2045831680,2030000000,15831680,31663361,1783,0,2,0,0
default,sweep,4096.0,3904,1817247169,1800000000,17247169,34494339,1782,0,3,0,0
default,sweep,7792.0,7288,914401977,890000000,24401977,48803955,1780,0,5,0,0
default,sweep,16384.0,16296,377385837,310000000,67385837,134771674,1780,0,4,0,1
default,sweep,18013.0,17792,349328567,280000000,69328567,138657134,1779,0,5,0,1
default,sweep,41643.0,41088,270000000,270000000,0,0,1774,0,0,0,11
default,sweep,65536.0,64576,260000000,260000000,0,0,1767,0,0,0,18
default,sweep,96271.0,95616,260000000,260000000,0,0,1738,0,0,0,47
default,sweep,222559.0,221216,260000000,260000000,0,0,1647,0,0,0,138
default,sweep,262144.0,260656,260000000,260000000,0,0,1625,0,0,0,160
default,sweep,514514.0,513552,260000000,260000000,0,0,1491,0,0,0,294
default,sweep,1048576.0,1034512,260000000,260000000,0,0,1337,0,0,0,448
default,sweep,1189456.0,1187376,260000000,260000000,0,0,1335,0,0,0,450
default,interpret,,0,51990000000,51990000000,0,0,1785,0,0,0,0
default,jit,,594728,3293008401,270000000,3023008401,3023008401,0,1785,0,0,0
default,static,,2753616,270000000,270000000,0,0,0,0,0,0,1785
default,unbounded min-E2E,,1187376,260000000,260000000,0,0,1335,0,0,0,450
