workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,740000000,740000000,0,0,68,0,0,0,0
default,sweep,14.0,0,740000000,740000000,0,0,68,0,0,0,0
default,sweep,33.0,0,740000000,740000000,0,0,68,0,0,0,0
default,sweep,76.0,0,740000000,740000000,0,0,68,0,0,0,0
default,sweep,176.0,0,740000000,740000000,0,0,68,0,0,0,0
default,sweep,408.0,0,740000000,740000000,0,0,68,0,0,0,0
default,sweep,949.0,520,730760362,730000000,760362,1520724,67,0,1,0,0
default,sweep,2206.0,2120,321219673,310000000,11219673,22439346,67,0,1,0,0
default,sweep,4096.0,3840,66567279,50000000,16567279,33134559,65,0,3,0,0
default,sweep,5126.0,5040,61980035,50000000,11980035,23960070,65,0,2,0,1
default,sweep,11913.0,10976,50000000,50000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,50000000,50000000,0,0,59,0,0,0,9
default,sweep,27687.0,25936,50000000,50000000,0,0,53,0,0,0,15
default,sweep,64344.0,63728,50000000,50000000,0,0,36,0,0,0,32
default,sweep,65536.0,63728,50000000,50000000,0,0,36,0,0,0,32
default,sweep,149536.0,149536,50000000,50000000,0,0,27,0,0,0,41
default,interpret,,0,740000000,740000000,0,0,68,0,0,0,0
default,jit,,74768,574626103,50000000,524626103,524626103,0,68,0,0,0
default,static,,173288,50000000,50000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,149536,50000000,50000000,0,0,27,0,0,0,41
