workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
mov-to-mp4,sweep,0.0,0,11209155000000,11209155000000,0,0,27490,0,0,0,0
mov-to-mp4,sweep,1013.0,520,9450456825550,9450456000000,825550,1651101,27489,0,1,0,0
mov-to-mp4,sweep,2340.0,2040,8265047967958,8265037000000,10967958,21935916,27488,0,2,0,0
mov-to-mp4,sweep,4096.0,4072,7041640168871,7041622000000,18168871,36337742,27486,0,4,0,0
mov-to-mp4,sweep,5407.0,5064,5856234430941,5856207000000,27430941,54861883,27486,0,4,0,0
mov-to-mp4,sweep,12490.0,12360,3577129528887,3577059000000,70528887,141057774,27481,0,9,0,0
mov-to-mp4,sweep,16384.0,16264,2726960594803,2726874000000,86594803,173189607,27477,0,13,0,0
mov-to-mp4,sweep,28856.0,28856,1629831727134,1629690000000,141727134,283454268,27464,0,26,0,0
mov-to-mp4,sweep,65536.0,65528,1087461895447,1087156000000,305895447,611790894,27437,0,53,0,0
mov-to-mp4,sweep,66663.0,66648,1079077315871,1078762000000,315315871,630631742,27441,0,49,0,0
mov-to-mp4,sweep,154007.0,153936,631384142809,630393000000,991142809,1982285619,27422,0,68,0,0
mov-to-mp4,sweep,262144.0,261952,361288533545,359713000000,1575533545,3151067090,27401,0,89,0,0
mov-to-mp4,sweep,355791.0,355728,209055470783,206910000000,2145470783,4290941567,27378,0,112,0,0
mov-to-mp4,sweep,821960.0,821960,92411195511,87494000000,4917195511,9834391023,27262,0,228,0,0
mov-to-mp4,sweep,1048576.0,1048568,85338108213,79079000000,6259108213,12518216427,27200,0,290,0,0
mov-to-mp4,sweep,1898915.0,1898896,78198692540,76598000000,1600692540,3201385081,27159,0,273,0,58
mov-to-mp4,sweep,4386930.0,4385376,74646000000,74646000000,0,0,26458,0,0,0,1032
mov-to-mp4,sweep,10134816.0,10057728,74646000000,74646000000,0,0,25053,0,0,0,2437
mov-to-mp4,interpret,,0,11209155000000,11209155000000,0,0,27490,0,0,0,0
mov-to-mp4,jit,,5067408,113472161402,74671000000,38801161402,38801161402,0,27490,0,0,0
mov-to-mp4,static,,60205968,74671000000,74671000000,0,0,0,0,0,0,27490
mov-to-mp4,unbounded min-E2E,,10057728,74646000000,74646000000,0,0,25053,0,0,0,2437
mp4-to-mkv,sweep,0.0,0,11046253000000,11046253000000,0,0,27490,0,0,0,0
mp4-to-mkv,sweep,994.0,520,9402593822026,9402593000000,822026,1644053,27489,0,1,0,0
mp4-to-mkv,sweep,2296.0,2040,8201353956727,8201343000000,10956727,21913454,27488,0,2,0,0
mp4-to-mkv,sweep,4096.0,4088,7052139227065,7052121000000,18227065,36454130,27486,0,4,0,0
mp4-to-mkv,sweep,5305.0,5064,5850902405234,5850875000000,27405234,54810468,27486,0,4,0,0
mp4-to-mkv,sweep,12257.0,11952,3726523835001,3726457000000,66835001,133670003,27481,0,9,0,0
mp4-to-mkv,sweep,16384.0,16264,2784581193409,2784495000000,86193409,172386819,27477,0,13,0,0
mp4-to-mkv,sweep,28318.0,28112,1711631064395,1711493000000,138064395,276128790,27465,0,25,0,0
mp4-to-mkv,sweep,65423.0,65368,1115181524553,1114866000000,315524553,631049106,27438,0,52,0,0
mp4-to-mkv,sweep,65536.0,65520,1114174697919,1113859000000,315697919,631395839,27438,0,52,0,0
mp4-to-mkv,sweep,151146.0,151144,660931888514,659991000000,940888514,1881777029,27417,0,73,0,0
mp4-to-mkv,sweep,262144.0,262096,374803866222,373279000000,1524866222,3049732445,27389,0,101,0,0
mp4-to-mkv,sweep,349193.0,349144,224421716980,222411000000,2010716980,4021433960,27370,0,120,0,0
mp4-to-mkv,sweep,806740.0,806640,90770645094,85867000000,4903645094,9807290188,27291,0,199,0,0
mp4-to-mkv,sweep,1048576.0,1048544,82510811103,75935000000,6575811103,13151622207,27252,0,238,0,0
mp4-to-mkv,sweep,1863811.0,1863752,75755002822,74029000000,1726002822,3452005644,27168,0,256,0,66
mp4-to-mkv,sweep,4305962.0,4304560,71972000000,71972000000,0,0,26462,0,0,0,1028
mp4-to-mkv,sweep,9948064.0,9901792,71972000000,71972000000,0,0,25035,0,0,0,2455
mp4-to-mkv,interpret,,0,11046253000000,11046253000000,0,0,27490,0,0,0,0
mp4-to-mkv,jit,,4974032,110086554591,71991000000,38095554591,38095554591,0,27490,0,0,0
mp4-to-mkv,static,,60112592,71991000000,71991000000,0,0,0,0,0,0,27490
mp4-to-mkv,unbounded min-E2E,,9901792,71972000000,71972000000,0,0,25035,0,0,0,2455
mp4-to-wav,sweep,0.0,0,16642000000,16642000000,0,0,27490,0,0,0,0
mp4-to-wav,sweep,595.0,560,16442116824,16441000000,1116824,2233648,27489,0,1,0,0
