workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,27120000000,27120000000,0,0,45,0,0,0,0
default,sweep,9.0,0,27120000000,27120000000,0,0,45,0,0,0,0
default,sweep,21.0,0,27120000000,27120000000,0,0,45,0,0,0,0
default,sweep,48.0,0,27120000000,27120000000,0,0,45,0,0,0,0
default,sweep,111.0,0,27120000000,27120000000,0,0,45,0,0,0,0
default,sweep,257.0,0,27120000000,27120000000,0,0,45,0,0,0,0
default,sweep,593.0,0,27120000000,27120000000,0,0,45,0,0,0,0
default,sweep,1372.0,1024,27120000000,27120000000,0,0,44,0,0,0,1
default,sweep,3170.0,2712,139572068,130000000,9572068,19144137,44,0,1,0,0
default,sweep,4096.0,3736,139572068,130000000,9572068,19144137,43,0,1,0,1
default,sweep,7327.0,6448,130000000,130000000,0,0,43,0,0,0,2
default,sweep,16384.0,14784,130000000,130000000,0,0,37,0,0,0,8
default,sweep,16933.0,16544,130000000,130000000,0,0,36,0,0,0,9
default,sweep,39135.0,38784,130000000,130000000,0,0,26,0,0,0,19
default,sweep,65536.0,52736,130000000,130000000,0,0,22,0,0,0,23
default,sweep,90448.0,90448,130000000,130000000,0,0,21,0,0,0,24
default,interpret,,0,27120000000,27120000000,0,0,45,0,0,0,0
default,jit,,45224,457355269,130000000,327355269,327355269,0,45,0,0,0
default,static,,107704,130000000,130000000,0,0,0,0,0,0,45
default,unbounded min-E2E,,90448,130000000,130000000,0,0,21,0,0,0,24
default,aot+jit,,107704,130000000,130000000,0,0,0,0,0,0,45
default,aot+interp,,107704,130000000,130000000,0,0,0,0,0,0,45
default,interp+jit,,2712,149144137,130000000,19144137,19144137,44,1,0,0,0
