workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,4300000000,4300000000,0,0,68,0,0,0,0
default,sweep,14.0,0,4300000000,4300000000,0,0,68,0,0,0,0
default,sweep,32.0,0,4300000000,4300000000,0,0,68,0,0,0,0
default,sweep,75.0,0,4300000000,4300000000,0,0,68,0,0,0,0
default,sweep,174.0,0,4300000000,4300000000,0,0,68,0,0,0,0
default,sweep,403.0,0,4300000000,4300000000,0,0,68,0,0,0,0
default,sweep,933.0,0,4300000000,4300000000,0,0,68,0,0,0,0
default,sweep,2162.0,2120,341269461,330000000,11269461,22538922,67,0,1,0,0
default,sweep,4096.0,3320,96021877,80000000,16021877,32043754,66,0,2,0,0
default,sweep,5007.0,4520,91269461,80000000,11269461,22538922,66,0,1,0,1
default,sweep,11598.0,10976,80000000,80000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,80000000,80000000,0,0,59,0,0,0,9
default,sweep,26865.0,25936,80000000,80000000,0,0,53,0,0,0,15
default,sweep,62225.0,60944,80000000,80000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,80000000,80000000,0,0,36,0,0,0,32
default,sweep,144128.0,144128,80000000,80000000,0,0,27,0,0,0,41
default,interpret,,0,4300000000,4300000000,0,0,68,0,0,0,0
default,jit,,72064,584175595,80000000,504175595,504175595,0,68,0,0,0
default,static,,167880,80000000,80000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,144128,80000000,80000000,0,0,27,0,0,0,41
default,aot+jit,,167880,80000000,80000000,0,0,0,0,0,0,68
default,aot+interp,,167880,80000000,80000000,0,0,0,0,0,0,68
default,interp+jit,,3320,112043754,80000000,32043754,32043754,66,2,0,0,0
