workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,608530000000,608530000000,0,0,118,0,0,0,0
default,sweep,27.0,0,608530000000,608530000000,0,0,118,0,0,0,0
default,sweep,62.0,0,608530000000,608530000000,0,0,118,0,0,0,0
default,sweep,144.0,0,608530000000,608530000000,0,0,118,0,0,0,0
default,sweep,333.0,0,608530000000,608530000000,0,0,118,0,0,0,0
default,sweep,771.0,0,608530000000,608530000000,0,0,118,0,0,0,0
default,sweep,1782.0,1440,586882925279,586880000000,2925279,5850558,117,0,1,0,0
default,sweep,4096.0,3240,563665242057,563660000000,5242057,10484115,116,0,2,0,0
default,sweep,4118.0,3240,563665242057,563660000000,5242057,10484115,116,0,2,0,0
default,sweep,9518.0,9112,379911306147,379870000000,41306147,82612294,114,0,4,0,0
default,sweep,16384.0,16320,42946399290,42840000000,106399290,212798581,114,0,4,0,0
default,sweep,22001.0,21784,4276525534,4160000000,116525534,233051069,111,0,6,0,1
default,sweep,50855.0,50160,4160000000,4160000000,0,0,104,0,0,0,14
default,sweep,65536.0,64880,4160000000,4160000000,0,0,95,0,0,0,23
default,sweep,117550.0,115936,4160000000,4160000000,0,0,69,0,0,0,49
default,sweep,262144.0,234000,4160000000,4160000000,0,0,44,0,0,0,74
default,sweep,271712.0,271712,4160000000,4160000000,0,0,43,0,0,0,75
default,interpret,,0,608530000000,608530000000,0,0,118,0,0,0,0
default,jit,,135856,5044092184,4160000000,884092184,884092184,0,118,0,0,0
default,static,,318208,4160000000,4160000000,0,0,0,0,0,0,118
default,unbounded min-E2E,,271712,4160000000,4160000000,0,0,43,0,0,0,75
