workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1224790000000,1224790000000,0,0,686,0,0,0,0
default,sweep,41.0,0,1224790000000,1224790000000,0,0,686,0,0,0,0
default,sweep,95.0,0,1224790000000,1224790000000,0,0,686,0,0,0,0
default,sweep,220.0,0,1224790000000,1224790000000,0,0,686,0,0,0,0
default,sweep,508.0,0,1224790000000,1224790000000,0,0,686,0,0,0,0
default,sweep,1176.0,1168,939523510129,939515000000,8510129,8510129,684,0,0,2,0
default,sweep,2721.0,2384,757545359907,757530000000,15359907,17569915,682,0,1,3,0
default,sweep,4096.0,4096,519838951514,519810000000,28951514,28951514,679,0,0,7,0
default,sweep,6296.0,5960,291403792486,291365000000,38792486,43401322,676,0,2,8,0
default,sweep,14569.0,14488,3062508817,2945000000,117508817,123659710,668,0,3,14,1
default,sweep,16384.0,16376,3057160346,2955000000,102160346,108311239,668,0,3,13,2
default,sweep,33713.0,33688,3051009453,2955000000,96009453,96009453,654,0,0,13,19
default,sweep,65536.0,65528,3051009453,2955000000,96009453,96009453,634,0,0,13,39
default,sweep,78014.0,76600,3051009453,2955000000,96009453,96009453,628,0,0,13,45
default,sweep,180530.0,179736,3051009453,2955000000,96009453,96009453,584,0,0,13,89
default,sweep,262144.0,261672,3051009453,2955000000,96009453,96009453,555,0,0,13,118
default,sweep,417760.0,404664,3051009453,2955000000,96009453,96009453,541,0,0,13,132
default,interpret,,0,1224790000000,1224790000000,0,0,686,0,0,0,0
default,jit,,208880,6165572208,4940000000,1225572208,1225572208,0,686,0,0,0
default,static,,1114856,4940000000,4940000000,0,0,0,0,0,0,686
default,unbounded min-E2E,,404664,3051009453,2955000000,96009453,96009453,541,0,0,13,132
default,aot+jit,,1114856,4940000000,4940000000,0,0,0,0,0,0,686
default,aot+interp,,1114856,4940000000,4940000000,0,0,0,0,0,0,686
default,interp+jit,,15776,5082343409,4940000000,142343409,142343409,668,18,0,0,0
