workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,950000000,950000000,0,0,68,0,0,0,0
default,sweep,14.0,0,950000000,950000000,0,0,68,0,0,0,0
default,sweep,32.0,0,950000000,950000000,0,0,68,0,0,0,0
default,sweep,75.0,0,950000000,950000000,0,0,68,0,0,0,0
default,sweep,175.0,0,950000000,950000000,0,0,68,0,0,0,0
default,sweep,405.0,0,950000000,950000000,0,0,68,0,0,0,0
default,sweep,940.0,0,950000000,950000000,0,0,68,0,0,0,0
default,sweep,2179.0,2120,311235114,300000000,11235114,22470229,67,0,1,0,0
default,sweep,4096.0,3320,75808132,60000000,15808132,31616265,66,0,2,0,0
default,sweep,5055.0,4520,71235114,60000000,11235114,22470229,66,0,1,0,1
default,sweep,11725.0,10976,60000000,60000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,60000000,60000000,0,0,59,0,0,0,9
default,sweep,27194.0,26224,60000000,60000000,0,0,53,0,0,0,15
default,sweep,63072.0,60944,60000000,60000000,0,0,37,0,0,0,31
default,sweep,65536.0,64368,60000000,60000000,0,0,36,0,0,0,32
default,sweep,146288.0,146288,60000000,60000000,0,0,27,0,0,0,41
default,interpret,,0,950000000,950000000,0,0,68,0,0,0,0
default,jit,,73144,571551780,60000000,511551780,511551780,0,68,0,0,0
default,static,,170040,60000000,60000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,146288,60000000,60000000,0,0,27,0,0,0,41
