workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1030000000,1030000000,0,0,68,0,0,0,0
default,sweep,14.0,0,1030000000,1030000000,0,0,68,0,0,0,0
default,sweep,33.0,0,1030000000,1030000000,0,0,68,0,0,0,0
default,sweep,76.0,0,1030000000,1030000000,0,0,68,0,0,0,0
default,sweep,175.0,0,1030000000,1030000000,0,0,68,0,0,0,0
default,sweep,407.0,0,1030000000,1030000000,0,0,68,0,0,0,0
default,sweep,946.0,0,1030000000,1030000000,0,0,68,0,0,0,0
default,sweep,2197.0,2120,311122769,300000000,11122769,22245538,67,0,1,0,0
default,sweep,4096.0,3320,65722602,50000000,15722602,31445204,66,0,2,0,0
default,sweep,5103.0,4520,61122769,50000000,11122769,22245538,66,0,1,0,1
default,sweep,11851.0,10976,50000000,50000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,50000000,50000000,0,0,59,0,0,0,9
default,sweep,27524.0,26592,50000000,50000000,0,0,53,0,0,0,15
default,sweep,63924.0,63728,50000000,50000000,0,0,36,0,0,0,32
default,sweep,65536.0,64368,50000000,50000000,0,0,36,0,0,0,32
default,sweep,148464.0,148464,50000000,50000000,0,0,27,0,0,0,41
default,interpret,,0,1030000000,1030000000,0,0,68,0,0,0,0
default,jit,,74232,562461413,50000000,512461413,512461413,0,68,0,0,0
default,static,,172216,50000000,50000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,148464,50000000,50000000,0,0,27,0,0,0,41
