workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,900000000,900000000,0,0,68,0,0,0,0
default,sweep,14.0,0,900000000,900000000,0,0,68,0,0,0,0
default,sweep,32.0,0,900000000,900000000,0,0,68,0,0,0,0
default,sweep,75.0,0,900000000,900000000,0,0,68,0,0,0,0
default,sweep,174.0,0,900000000,900000000,0,0,68,0,0,0,0
default,sweep,404.0,0,900000000,900000000,0,0,68,0,0,0,0
default,sweep,937.0,520,890768721,890000000,768721,1537442,67,0,1,0,0
default,sweep,2172.0,2120,301082899,290000000,11082899,22165798,67,0,1,0,0
default,sweep,4096.0,3840,56460653,40000000,16460653,32921306,65,0,3,0,0
default,sweep,5035.0,4360,55691932,40000000,15691932,31383864,65,0,2,0,1
default,sweep,11671.0,10976,40000000,40000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,40000000,40000000,0,0,59,0,0,0,9
default,sweep,27055.0,25936,40000000,40000000,0,0,53,0,0,0,15
default,sweep,62715.0,60944,40000000,40000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,40000000,40000000,0,0,36,0,0,0,32
default,sweep,145376.0,145376,40000000,40000000,0,0,27,0,0,0,41
default,interpret,,0,900000000,900000000,0,0,68,0,0,0,0
default,jit,,72688,537504674,40000000,497504674,497504674,0,68,0,0,0
default,static,,169128,40000000,40000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145376,40000000,40000000,0,0,27,0,0,0,41
default,aot+jit,,169128,40000000,40000000,0,0,0,0,0,0,68
default,aot+interp,,169128,40000000,40000000,0,0,0,0,0,0,68
default,interp+jit,,3840,72921306,40000000,32921306,32921306,65,3,0,0,0
