workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,395670000000,395670000000,0,0,260,0,0,0,0
default,sweep,57.0,0,395670000000,395670000000,0,0,260,0,0,0,0
default,sweep,132.0,0,395670000000,395670000000,0,0,260,0,0,0,0
default,sweep,304.0,0,395670000000,395670000000,0,0,260,0,0,0,0
default,sweep,703.0,624,384501323788,384500000000,1323788,2647577,259,0,1,0,0
default,sweep,1625.0,1432,374224550371,374220000000,4550371,9100743,258,0,2,0,0
default,sweep,3755.0,3552,267834120276,267820000000,14120276,28240553,257,0,3,0,0
default,sweep,4096.0,4072,261508364102,261490000000,18364102,36728204,257,0,3,0,0
default,sweep,8678.0,8512,190126279778,190090000000,36279778,72559556,253,0,7,0,0
default,sweep,16384.0,16288,138986250990,138920000000,66250990,132501981,249,0,11,0,0
default,sweep,20053.0,19504,118020349697,117930000000,90349697,180699394,248,0,12,0,0
default,sweep,46338.0,46320,27110828281,26900000000,210828281,421656563,236,0,24,0,0
default,sweep,65536.0,65272,7660735656,7370000000,290735656,581471313,227,0,33,0,0
default,sweep,107077.0,107064,3946935465,3690000000,256935465,513870930,217,0,37,0,6
default,sweep,247432.0,246576,3660000000,3660000000,0,0,199,0,0,0,61
default,sweep,262144.0,261552,3660000000,3660000000,0,0,190,0,0,0,70
default,sweep,571760.0,570720,3660000000,3660000000,0,0,112,0,0,0,148
default,interpret,,0,395670000000,395670000000,0,0,260,0,0,0,0
default,jit,,285880,5700855922,3670000000,2030855922,2030855922,0,260,0,0,0
default,static,,726768,3670000000,3670000000,0,0,0,0,0,0,260
default,unbounded min-E2E,,570720,3660000000,3660000000,0,0,112,0,0,0,148
