workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,640000000,640000000,0,0,68,0,0,0,0
default,sweep,14.0,0,640000000,640000000,0,0,68,0,0,0,0
default,sweep,32.0,0,640000000,640000000,0,0,68,0,0,0,0
default,sweep,75.0,0,640000000,640000000,0,0,68,0,0,0,0
default,sweep,175.0,0,640000000,640000000,0,0,68,0,0,0,0
default,sweep,406.0,0,640000000,640000000,0,0,68,0,0,0,0
default,sweep,942.0,0,640000000,640000000,0,0,68,0,0,0,0
default,sweep,2185.0,2120,301231117,290000000,11231117,22462234,67,0,1,0,0
default,sweep,4096.0,3320,45967631,30000000,15967631,31935262,66,0,2,0,0
default,sweep,5070.0,4520,41231117,30000000,11231117,22462234,66,0,1,0,1
default,sweep,11764.0,10976,30000000,30000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,30000000,30000000,0,0,59,0,0,0,9
default,sweep,27296.0,25936,30000000,30000000,0,0,53,0,0,0,15
default,sweep,63336.0,60944,30000000,30000000,0,0,37,0,0,0,31
default,sweep,65536.0,64896,30000000,30000000,0,0,36,0,0,0,32
default,sweep,146960.0,146960,30000000,30000000,0,0,27,0,0,0,41
default,interpret,,0,640000000,640000000,0,0,68,0,0,0,0
default,jit,,73480,549354361,30000000,519354361,519354361,0,68,0,0,0
default,static,,170712,30000000,30000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,146960,30000000,30000000,0,0,27,0,0,0,41
