workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,28900000000,28900000000,0,0,68,0,0,0,0
default,sweep,142.0,0,28900000000,28900000000,0,0,68,0,0,0,0
default,sweep,328.0,0,28900000000,28900000000,0,0,68,0,0,0,0
default,sweep,758.0,0,28900000000,28900000000,0,0,68,0,0,0,0
default,sweep,1752.0,1424,19205063960,19200000000,5063960,10127920,67,0,1,0,0
default,sweep,4049.0,4048,9154505980,9140000000,14505980,29011960,65,0,3,0,0
default,sweep,4096.0,4056,7264823605,7250000000,14823605,29647211,65,0,3,0,0
default,sweep,9356.0,8680,3133181993,3100000000,33181993,66363987,62,0,6,0,0
default,sweep,16384.0,16304,1129460287,1060000000,69460287,138920575,61,0,7,0,0
default,sweep,21618.0,20944,592140623,510000000,82140623,164281247,57,0,11,0,0
default,sweep,49955.0,49472,490000000,490000000,0,0,51,0,0,0,17
default,sweep,65536.0,65488,490000000,490000000,0,0,42,0,0,0,26
default,sweep,115434.0,99248,490000000,490000000,0,0,30,0,0,0,38
default,sweep,262144.0,136960,490000000,490000000,0,0,29,0,0,0,39
default,sweep,266742.0,136960,490000000,490000000,0,0,29,0,0,0,39
default,sweep,616378.0,136960,490000000,490000000,0,0,29,0,0,0,39
default,sweep,1048576.0,136960,490000000,490000000,0,0,29,0,0,0,39
default,sweep,1424304.0,1424304,490000000,490000000,0,0,28,0,0,0,40
default,interpret,,0,28900000000,28900000000,0,0,68,0,0,0,0
default,jit,,712152,6587999450,490000000,6097999450,6097999450,0,68,0,0,0
default,static,,1448728,490000000,490000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,1424304,490000000,490000000,0,0,28,0,0,0,40
default,aot+jit,,1448728,490000000,490000000,0,0,0,0,0,0,68
default,aot+interp,,1448728,490000000,490000000,0,0,0,0,0,0,68
default,interp+jit,,21752,656019431,490000000,166019431,166019431,56,12,0,0,0
