workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,620000000,620000000,0,0,68,0,0,0,0
default,sweep,14.0,0,620000000,620000000,0,0,68,0,0,0,0
default,sweep,32.0,0,620000000,620000000,0,0,68,0,0,0,0
default,sweep,75.0,0,620000000,620000000,0,0,68,0,0,0,0
default,sweep,175.0,0,620000000,620000000,0,0,68,0,0,0,0
default,sweep,405.0,0,620000000,620000000,0,0,68,0,0,0,0
default,sweep,938.0,0,620000000,620000000,0,0,68,0,0,0,0
default,sweep,2176.0,2120,311079103,300000000,11079103,22158206,67,0,1,0,0
default,sweep,4096.0,3320,55674397,40000000,15674397,31348795,66,0,2,0,0
default,sweep,5046.0,4520,51079103,40000000,11079103,22158206,66,0,1,0,1
default,sweep,11699.0,10976,40000000,40000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,40000000,40000000,0,0,59,0,0,0,9
default,sweep,27128.0,25936,40000000,40000000,0,0,53,0,0,0,15
default,sweep,62903.0,60944,40000000,40000000,0,0,37,0,0,0,31
default,sweep,65536.0,64896,40000000,40000000,0,0,36,0,0,0,32
default,sweep,145856.0,145856,40000000,40000000,0,0,27,0,0,0,41
default,interpret,,0,620000000,620000000,0,0,68,0,0,0,0
default,jit,,72928,557413034,40000000,517413034,517413034,0,68,0,0,0
default,static,,169608,40000000,40000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145856,40000000,40000000,0,0,27,0,0,0,41
default,aot+jit,,169608,40000000,40000000,0,0,0,0,0,0,68
default,aot+interp,,169608,40000000,40000000,0,0,0,0,0,0,68
default,interp+jit,,3320,71348795,40000000,31348795,31348795,66,2,0,0,0
