workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,107250000000,107250000000,0,0,104,0,0,0,0
default,sweep,20.0,0,107250000000,107250000000,0,0,104,0,0,0,0
default,sweep,46.0,0,107250000000,107250000000,0,0,104,0,0,0,0
default,sweep,107.0,0,107250000000,107250000000,0,0,104,0,0,0,0
default,sweep,248.0,0,107250000000,107250000000,0,0,104,0,0,0,0
default,sweep,573.0,536,103780929806,103780000000,929806,1859612,103,0,1,0,0
default,sweep,1326.0,1200,42044612386,42040000000,4612386,9224773,103,0,1,0,0
default,sweep,3068.0,2784,4426117468,4420000000,6117468,12234937,102,0,2,0,0
default,sweep,4096.0,3856,956117468,950000000,6117468,12234937,101,0,2,0,1
default,sweep,7098.0,6640,950000000,950000000,0,0,101,0,0,0,3
default,sweep,16384.0,15552,950000000,950000000,0,0,94,0,0,0,10
default,sweep,16422.0,15552,950000000,950000000,0,0,94,0,0,0,10
default,sweep,37996.0,37296,950000000,950000000,0,0,81,0,0,0,23
default,sweep,65536.0,64080,950000000,950000000,0,0,67,0,0,0,37
default,sweep,87909.0,86416,950000000,950000000,0,0,57,0,0,0,47
default,sweep,203392.0,203392,950000000,950000000,0,0,40,0,0,0,64
default,interpret,,0,107250000000,107250000000,0,0,104,0,0,0,0
default,jit,,101696,1557206980,950000000,607206980,607206980,0,104,0,0,0
default,static,,241408,950000000,950000000,0,0,0,0,0,0,104
default,unbounded min-E2E,,203392,950000000,950000000,0,0,40,0,0,0,64
