workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,820000000,820000000,0,0,68,0,0,0,0
default,sweep,14.0,0,820000000,820000000,0,0,68,0,0,0,0
default,sweep,32.0,0,820000000,820000000,0,0,68,0,0,0,0
default,sweep,75.0,0,820000000,820000000,0,0,68,0,0,0,0
default,sweep,174.0,0,820000000,820000000,0,0,68,0,0,0,0
default,sweep,404.0,0,820000000,820000000,0,0,68,0,0,0,0
default,sweep,937.0,0,820000000,820000000,0,0,68,0,0,0,0
default,sweep,2172.0,2120,321234198,310000000,11234198,22468396,67,0,1,0,0
default,sweep,4096.0,3320,75842402,60000000,15842402,31684805,66,0,2,0,0
default,sweep,5036.0,4520,71234198,60000000,11234198,22468396,66,0,1,0,1
default,sweep,11673.0,10976,60000000,60000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,60000000,60000000,0,0,59,0,0,0,9
default,sweep,27060.0,25936,60000000,60000000,0,0,53,0,0,0,15
default,sweep,62727.0,61760,60000000,60000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,60000000,60000000,0,0,36,0,0,0,32
default,sweep,145408.0,145408,60000000,60000000,0,0,27,0,0,0,41
default,interpret,,0,820000000,820000000,0,0,68,0,0,0,0
default,jit,,72704,562674119,60000000,502674119,502674119,0,68,0,0,0
default,static,,169160,60000000,60000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145408,60000000,60000000,0,0,27,0,0,0,41
default,aot+jit,,169160,60000000,60000000,0,0,0,0,0,0,68
default,aot+interp,,169160,60000000,60000000,0,0,0,0,0,0,68
default,interp+jit,,3320,91684805,60000000,31684805,31684805,66,2,0,0,0
