workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,562610000000,562610000000,0,0,122,0,0,0,0
default,sweep,23.0,0,562610000000,562610000000,0,0,122,0,0,0,0
default,sweep,53.0,0,562610000000,562610000000,0,0,122,0,0,0,0
default,sweep,124.0,0,562610000000,562610000000,0,0,122,0,0,0,0
default,sweep,286.0,0,562610000000,562610000000,0,0,122,0,0,0,0
default,sweep,663.0,0,562610000000,562610000000,0,0,122,0,0,0,0
default,sweep,1537.0,912,560483372924,560480000000,3372924,6745849,121,0,1,0,0
default,sweep,3561.0,2896,552478547831,552470000000,8547831,17095663,120,0,2,0,0
default,sweep,4096.0,3760,551469835603,551460000000,9835603,19671206,119,0,3,0,0
default,sweep,8253.0,29840,3540000000,3540000000,0,0,115,0,0,0,7
default,sweep,16384.0,15648,3580034015,3540000000,40034015,80068031,115,0,6,0,1
default,sweep,19125.0,18544,3571486184,3540000000,31486184,62972368,115,0,4,0,3
default,sweep,44318.0,43248,3540000000,3540000000,0,0,104,0,0,0,18
default,sweep,65536.0,64784,3540000000,3540000000,0,0,91,0,0,0,31
default,sweep,102699.0,101120,3540000000,3540000000,0,0,72,0,0,0,50
default,sweep,237984.0,237984,3540000000,3540000000,0,0,42,0,0,0,80
default,interpret,,0,562610000000,562610000000,0,0,122,0,0,0,0
default,jit,,118992,4250279693,3540000000,710279693,710279693,0,122,0,0,0
default,static,,304240,3540000000,3540000000,0,0,0,0,0,0,122
default,unbounded min-E2E,,237984,3540000000,3540000000,0,0,42,0,0,0,80
