workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,716910000000,716910000000,0,0,133,0,0,0,0
default,sweep,42.0,0,716910000000,716910000000,0,0,133,0,0,0,0
default,sweep,97.0,0,716910000000,716910000000,0,0,133,0,0,0,0
default,sweep,225.0,0,716910000000,716910000000,0,0,133,0,0,0,0
default,sweep,520.0,0,716910000000,716910000000,0,0,133,0,0,0,0
default,sweep,1204.0,1200,716294597516,716290000000,4597516,9195033,132,0,1,0,0
default,sweep,2785.0,2400,716286242454,716280000000,6242454,12484908,131,0,2,0,0
default,sweep,4096.0,3088,716092381252,716080000000,12381252,24762505,131,0,2,0,0
default,sweep,6443.0,6320,615903018446,615850000000,53018446,106036892,131,0,1,0,1
default,sweep,14907.0,14520,445392888658,445300000000,92888658,185777316,130,0,3,0,0
default,sweep,16384.0,15904,377381236292,377310000000,71236292,142472584,131,0,2,0,0
default,sweep,34490.0,33944,190939050315,190750000000,189050315,378100631,126,0,7,0,0
default,sweep,65536.0,64680,3492039055,3170000000,322039055,644078111,124,0,8,0,1
default,sweep,79800.0,79056,3394701950,3160000000,234701950,469403901,123,0,7,0,3
default,sweep,184633.0,183440,3130000000,3130000000,0,0,102,0,0,0,31
default,sweep,262144.0,261904,3130000000,3130000000,0,0,67,0,0,0,66
default,sweep,427184.0,427184,3130000000,3130000000,0,0,56,0,0,0,77
default,interpret,,0,716910000000,716910000000,0,0,133,0,0,0,0
default,jit,,213592,4943240710,3130000000,1813240710,1813240710,0,133,0,0,0
default,static,,504040,3130000000,3130000000,0,0,0,0,0,0,133
default,unbounded min-E2E,,427184,3130000000,3130000000,0,0,56,0,0,0,77
