workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1390580000000,1390580000000,0,0,68,0,0,0,0
default,sweep,14.0,0,1390580000000,1390580000000,0,0,68,0,0,0,0
default,sweep,33.0,0,1390580000000,1390580000000,0,0,68,0,0,0,0
default,sweep,76.0,0,1390580000000,1390580000000,0,0,68,0,0,0,0
default,sweep,176.0,0,1390580000000,1390580000000,0,0,68,0,0,0,0
default,sweep,408.0,0,1390580000000,1390580000000,0,0,68,0,0,0,0
default,sweep,948.0,520,1390570744852,1390570000000,744852,1489704,67,0,1,0,0
default,sweep,2203.0,1720,6095371771,6090000000,5371771,10743542,66,0,2,0,0
default,sweep,4096.0,3440,6090000000,6090000000,0,0,66,0,0,0,2
default,sweep,5120.0,4464,6090000000,6090000000,0,0,65,0,0,0,3
default,sweep,11897.0,11600,6090000000,6090000000,0,0,60,0,0,0,8
default,sweep,16384.0,14896,6090000000,6090000000,0,0,58,0,0,0,10
default,sweep,27643.0,27248,6090000000,6090000000,0,0,51,0,0,0,17
default,sweep,64231.0,62624,6090000000,6090000000,0,0,36,0,0,0,32
default,sweep,65536.0,62624,6090000000,6090000000,0,0,36,0,0,0,32
default,sweep,149248.0,149248,6090000000,6090000000,0,0,27,0,0,0,41
default,interpret,,0,1390580000000,1390580000000,0,0,68,0,0,0,0
default,jit,,74624,6628595061,6090000000,538595061,538595061,0,68,0,0,0
default,static,,173000,6090000000,6090000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,149248,6090000000,6090000000,0,0,27,0,0,0,41
default,aot+jit,,173000,6090000000,6090000000,0,0,0,0,0,0,68
default,aot+interp,,173000,6090000000,6090000000,0,0,0,0,0,0,68
default,interp+jit,,1720,6100743542,6090000000,10743542,10743542,66,2,0,0,0
