workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,621750000000,621750000000,0,0,140,0,0,0,0
default,sweep,34.0,0,621750000000,621750000000,0,0,140,0,0,0,0
default,sweep,79.0,0,621750000000,621750000000,0,0,140,0,0,0,0
default,sweep,182.0,0,621750000000,621750000000,0,0,140,0,0,0,0
default,sweep,420.0,0,621750000000,621750000000,0,0,140,0,0,0,0
default,sweep,971.0,592,293281435817,293280000000,1435817,2871634,139,0,1,0,0
default,sweep,2244.0,1792,234996031934,234990000000,6031934,12063868,138,0,2,0,0
default,sweep,4096.0,3608,73274875632,73260000000,14875632,29751264,137,0,3,0,0
default,sweep,5187.0,4808,34807777196,34790000000,17777196,35554392,135,0,5,0,0
default,sweep,11991.0,11984,27864592245,27820000000,44592245,89184491,128,0,12,0,0
default,sweep,16384.0,16128,21530372467,21460000000,70372467,140744935,130,0,10,0,0
default,sweep,27718.0,27688,17793312685,17680000000,113312685,226625370,123,0,16,0,1
default,sweep,64073.0,63880,17220720184,17190000000,30720184,61440369,114,0,14,0,12
default,sweep,65536.0,65360,17215818147,17190000000,25818147,51636294,114,0,13,0,13
default,sweep,148109.0,147792,17090000000,17090000000,0,0,90,0,0,0,50
default,sweep,262144.0,261968,17090000000,17090000000,0,0,42,0,0,0,98
default,sweep,342368.0,342368,17090000000,17090000000,0,0,35,0,0,0,105
default,interpret,,0,621750000000,621750000000,0,0,140,0,0,0,0
default,jit,,171184,18218324066,17090000000,1128324066,1128324066,0,140,0,0,0
default,static,,384872,17090000000,17090000000,0,0,0,0,0,0,140
default,unbounded min-E2E,,342368,17090000000,17090000000,0,0,35,0,0,0,105
