workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,411180000000,411180000000,0,0,129,0,0,0,0
default,sweep,29.0,0,411180000000,411180000000,0,0,129,0,0,0,0
default,sweep,67.0,0,411180000000,411180000000,0,0,129,0,0,0,0
default,sweep,155.0,0,411180000000,411180000000,0,0,129,0,0,0,0
default,sweep,359.0,0,411180000000,411180000000,0,0,129,0,0,0,0
default,sweep,832.0,0,411180000000,411180000000,0,0,129,0,0,0,0
default,sweep,1925.0,1584,363241690952,363240000000,1690952,3381905,128,0,1,0,0
default,sweep,4096.0,4080,209093661765,209080000000,13661765,27323531,127,0,1,0,1
default,sweep,4454.0,4064,209093661765,209080000000,13661765,27323531,127,0,1,0,1
default,sweep,10306.0,9408,40362222193,40330000000,32222193,64444386,125,0,4,0,0
default,sweep,16384.0,15512,25909720343,25850000000,59720343,119440687,124,0,5,0,0
default,sweep,23849.0,23072,7128988381,7020000000,108988381,217976762,123,0,6,0,0
default,sweep,55190.0,54688,2350000000,2350000000,0,0,119,0,0,0,10
default,sweep,65536.0,64768,2350000000,2350000000,0,0,112,0,0,0,17
default,sweep,127717.0,127712,2350000000,2350000000,0,0,79,0,0,0,50
default,sweep,262144.0,255440,2350000000,2350000000,0,0,59,0,0,0,70
default,sweep,295552.0,293152,2350000000,2350000000,0,0,58,0,0,0,71
default,interpret,,0,411180000000,411180000000,0,0,129,0,0,0,0
default,jit,,147776,3361993411,2360000000,1001993411,1001993411,0,129,0,0,0
default,static,,374904,2360000000,2360000000,0,0,0,0,0,0,129
default,unbounded min-E2E,,293152,2350000000,2350000000,0,0,58,0,0,0,71
default,aot+jit,,374904,2360000000,2360000000,0,0,0,0,0,0,129
default,aot+interp,,372504,2350000000,2350000000,0,0,1,0,0,0,128
default,interp+jit,,25776,2602964053,2350000000,252964053,252964053,122,7,0,0,0
