workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,82050000000,82050000000,0,0,102,0,0,0,0
default,sweep,22.0,0,82050000000,82050000000,0,0,102,0,0,0,0
default,sweep,51.0,0,82050000000,82050000000,0,0,102,0,0,0,0
default,sweep,118.0,0,82050000000,82050000000,0,0,102,0,0,0,0
default,sweep,272.0,0,82050000000,82050000000,0,0,102,0,0,0,0
default,sweep,630.0,0,82050000000,82050000000,0,0,102,0,0,0,0
default,sweep,1457.0,1440,80702526911,80700000000,2526911,5053823,101,0,1,0,0
default,sweep,3369.0,2680,1715026982,1710000000,5026982,10053965,101,0,1,0,0
default,sweep,4096.0,3848,1715026982,1710000000,5026982,10053965,100,0,1,0,1
default,sweep,7792.0,7656,357553894,350000000,7553894,15107788,99,0,2,0,1
default,sweep,16384.0,15552,340000000,340000000,0,0,98,0,0,0,4
default,sweep,18024.0,17600,340000000,340000000,0,0,96,0,0,0,6
default,sweep,41689.0,41472,340000000,340000000,0,0,79,0,0,0,23
default,sweep,65536.0,64848,340000000,340000000,0,0,66,0,0,0,36
default,sweep,96428.0,94608,340000000,340000000,0,0,52,0,0,0,50
default,sweep,223040.0,223040,340000000,340000000,0,0,27,0,0,0,75
default,interpret,,0,82050000000,82050000000,0,0,102,0,0,0,0
default,jit,,111520,981378660,340000000,641378660,641378660,0,102,0,0,0
default,static,,246928,340000000,340000000,0,0,0,0,0,0,102
default,unbounded min-E2E,,223040,340000000,340000000,0,0,27,0,0,0,75
default,aot+jit,,246928,340000000,340000000,0,0,0,0,0,0,102
default,aot+interp,,246928,340000000,340000000,0,0,0,0,0,0,102
default,interp+jit,,5888,371214184,350000000,21214184,21214184,99,3,0,0,0
