workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1010000000,1010000000,0,0,68,0,0,0,0
default,sweep,14.0,0,1010000000,1010000000,0,0,68,0,0,0,0
default,sweep,32.0,0,1010000000,1010000000,0,0,68,0,0,0,0
default,sweep,75.0,0,1010000000,1010000000,0,0,68,0,0,0,0
default,sweep,175.0,0,1010000000,1010000000,0,0,68,0,0,0,0
default,sweep,405.0,0,1010000000,1010000000,0,0,68,0,0,0,0
default,sweep,940.0,0,1010000000,1010000000,0,0,68,0,0,0,0
default,sweep,2181.0,2120,291119159,280000000,11119159,22238318,67,0,1,0,0
default,sweep,4096.0,3320,55717242,40000000,15717242,31434484,66,0,2,0,0
default,sweep,5060.0,4520,51119159,40000000,11119159,22238318,66,0,1,0,1
default,sweep,11738.0,10976,40000000,40000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,40000000,40000000,0,0,59,0,0,0,9
default,sweep,27228.0,26784,40000000,40000000,0,0,53,0,0,0,15
default,sweep,63160.0,61248,40000000,40000000,0,0,37,0,0,0,31
default,sweep,65536.0,64368,40000000,40000000,0,0,36,0,0,0,32
default,sweep,146512.0,146512,40000000,40000000,0,0,27,0,0,0,41
default,interpret,,0,1010000000,1010000000,0,0,68,0,0,0,0
default,jit,,73256,544674781,40000000,504674781,504674781,0,68,0,0,0
default,static,,170264,40000000,40000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,146512,40000000,40000000,0,0,27,0,0,0,41
default,aot+jit,,170264,40000000,40000000,0,0,0,0,0,0,68
default,aot+interp,,170264,40000000,40000000,0,0,0,0,0,0,68
default,interp+jit,,3320,71434484,40000000,31434484,31434484,66,2,0,0,0
