workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,712720000000,712720000000,0,0,222,0,0,0,0
default,sweep,71.0,0,712720000000,712720000000,0,0,222,0,0,0,0
default,sweep,164.0,0,712720000000,712720000000,0,0,222,0,0,0,0
default,sweep,379.0,0,712720000000,712720000000,0,0,222,0,0,0,0
default,sweep,877.0,808,712710902781,712710000000,902781,1805563,221,0,1,0,0
default,sweep,2027.0,1768,407023019625,407020000000,3019625,6039250,221,0,1,0,0
default,sweep,4096.0,4096,153470252196,153460000000,10252196,20504392,219,0,3,0,0
default,sweep,4686.0,4096,153470252196,153460000000,10252196,20504392,219,0,3,0,0
default,sweep,10831.0,10800,118876442026,118850000000,26442026,52884052,214,0,7,0,1
default,sweep,16384.0,16208,31710954219,31640000000,70954219,141908439,216,0,6,0,0
default,sweep,25037.0,24696,17442493387,17360000000,82493387,164986775,216,0,6,0,0
default,sweep,57874.0,57696,6489648185,6400000000,89648185,179296370,202,0,18,0,2
default,sweep,65536.0,65448,6446581404,6390000000,56581404,113162808,201,0,16,0,5
default,sweep,133779.0,133760,6267783448,6250000000,17783448,35566897,196,0,8,0,18
default,sweep,262144.0,261200,6240000000,6240000000,0,0,136,0,0,0,86
default,sweep,309237.0,309232,6240000000,6240000000,0,0,113,0,0,0,109
default,sweep,714816.0,714816,6240000000,6240000000,0,0,62,0,0,0,160
default,interpret,,0,712720000000,712720000000,0,0,222,0,0,0,0
default,jit,,357408,8434910593,6240000000,2194910593,2194910593,0,222,0,0,0
default,static,,824928,6240000000,6240000000,0,0,0,0,0,0,222
default,unbounded min-E2E,,714816,6240000000,6240000000,0,0,62,0,0,0,160
default,aot+jit,,824928,6240000000,6240000000,0,0,0,0,0,0,222
default,aot+interp,,824928,6240000000,6240000000,0,0,0,0,0,0,222
default,interp+jit,,50160,6675526048,6380000000,295526048,295526048,200,22,0,0,0
