workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1384160000000,1384160000000,0,0,282,0,0,0,0
default,sweep,111.0,0,1384160000000,1384160000000,0,0,282,0,0,0,0
default,sweep,257.0,0,1384160000000,1384160000000,0,0,282,0,0,0,0
default,sweep,593.0,0,1384160000000,1384160000000,0,0,282,0,0,0,0
default,sweep,1372.0,1216,1377290000000,1377290000000,0,0,281,0,0,0,1
default,sweep,3171.0,3040,39197889008,39190000000,7889008,15778016,280,0,1,0,1
default,sweep,4096.0,3632,37763847617,37750000000,13847617,27695235,279,0,3,0,0
default,sweep,7331.0,7280,33366679768,33340000000,26679768,53359537,277,0,4,0,1
default,sweep,16384.0,16344,22426234728,22350000000,76234728,152469457,275,0,7,0,0
default,sweep,16948.0,16880,20808813917,20730000000,78813917,157627835,277,0,5,0,0
default,sweep,39183.0,38808,15032294074,14900000000,132294074,264588148,261,0,21,0,0
default,sweep,65536.0,65536,11006162575,10750000000,256162575,512325150,261,0,20,0,1
default,sweep,90586.0,90400,8135026817,7760000000,375026817,750053634,258,0,24,0,0
default,sweep,209425.0,209104,6740300138,6700000000,40300138,80600277,250,0,18,0,14
default,sweep,262144.0,261808,6680000000,6680000000,0,0,235,0,0,0,47
default,sweep,484168.0,483720,6540855061,6540000000,855061,1710123,243,0,1,0,38
default,sweep,1048576.0,1013904,6530000000,6530000000,0,0,134,0,0,0,148
default,sweep,1119344.0,1119344,6530000000,6530000000,0,0,132,0,0,0,150
default,interpret,,0,1384160000000,1384160000000,0,0,282,0,0,0,0
default,jit,,559672,10933664424,6530000000,4403664424,4403664424,0,282,0,0,0
default,static,,2783008,6530000000,6530000000,0,0,0,0,0,0,282
default,unbounded min-E2E,,1119344,6530000000,6530000000,0,0,132,0,0,0,150
