workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,290000000,290000000,0,0,68,0,0,0,0
default,sweep,14.0,0,290000000,290000000,0,0,68,0,0,0,0
default,sweep,33.0,0,290000000,290000000,0,0,68,0,0,0,0
default,sweep,76.0,0,290000000,290000000,0,0,68,0,0,0,0
default,sweep,176.0,0,290000000,290000000,0,0,68,0,0,0,0
default,sweep,408.0,0,290000000,290000000,0,0,68,0,0,0,0
default,sweep,948.0,0,290000000,290000000,0,0,68,0,0,0,0
default,sweep,2202.0,1200,54583450,50000000,4583450,9166900,67,0,1,0,0
default,sweep,4096.0,3424,50000000,50000000,0,0,66,0,0,0,2
default,sweep,5115.0,4464,50000000,50000000,0,0,65,0,0,0,3
default,sweep,11885.0,11600,50000000,50000000,0,0,60,0,0,0,8
default,sweep,16384.0,14896,50000000,50000000,0,0,58,0,0,0,10
default,sweep,27611.0,27248,50000000,50000000,0,0,51,0,0,0,17
default,sweep,64150.0,62624,50000000,50000000,0,0,36,0,0,0,32
default,sweep,65536.0,62624,50000000,50000000,0,0,36,0,0,0,32
default,sweep,149040.0,149040,50000000,50000000,0,0,27,0,0,0,41
default,interpret,,0,290000000,290000000,0,0,68,0,0,0,0
default,jit,,74520,561329926,50000000,511329926,511329926,0,68,0,0,0
default,static,,172792,50000000,50000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,149040,50000000,50000000,0,0,27,0,0,0,41
default,aot+jit,,172792,50000000,50000000,0,0,0,0,0,0,68
default,aot+interp,,172792,50000000,50000000,0,0,0,0,0,0,68
default,interp+jit,,1200,59166900,50000000,9166900,9166900,67,1,0,0,0
