workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1690000000,1690000000,0,0,47,0,0,0,0
default,sweep,8.0,0,1690000000,1690000000,0,0,47,0,0,0,0
default,sweep,19.0,0,1690000000,1690000000,0,0,47,0,0,0,0
default,sweep,43.0,0,1690000000,1690000000,0,0,47,0,0,0,0
default,sweep,99.0,0,1690000000,1690000000,0,0,47,0,0,0,0
default,sweep,229.0,0,1690000000,1690000000,0,0,47,0,0,0,0
default,sweep,529.0,0,1690000000,1690000000,0,0,47,0,0,0,0
default,sweep,1224.0,1088,172879756,170000000,2879756,5759512,46,0,1,0,0
default,sweep,2831.0,2176,170000000,170000000,0,0,46,0,0,0,1
default,sweep,4096.0,4064,17578575,10000000,7578575,15157151,45,0,1,0,1
default,sweep,6547.0,5952,10000000,10000000,0,0,45,0,0,0,2
default,sweep,15142.0,13584,10000000,10000000,0,0,39,0,0,0,8
default,sweep,16384.0,15312,10000000,10000000,0,0,38,0,0,0,9
default,sweep,35020.0,33104,10000000,10000000,0,0,30,0,0,0,17
default,sweep,65536.0,43280,10000000,10000000,0,0,27,0,0,0,20
default,sweep,80992.0,80992,10000000,10000000,0,0,26,0,0,0,21
default,interpret,,0,1690000000,1690000000,0,0,47,0,0,0,0
default,jit,,40496,311365440,10000000,301365440,301365440,0,47,0,0,0
default,static,,103992,10000000,10000000,0,0,0,0,0,0,47
default,unbounded min-E2E,,80992,10000000,10000000,0,0,26,0,0,0,21
